arrival_time,job_size
33,11
65,7
101,10
147,5
187,13
225,7
265,12
309,6
344,5
377,5
392,5
437,6
470,16
498,24
537,5
574,5
617,24
661,5
691,5
728,7
744,17
779,5
816,5
848,54
878,47
920,6
951,8
997,9
1030,6
1067,7
1103,23
1131,6
1173,8
1209,6
1240,33
1267,10
1306,5
1343,7
1384,19
1416,6
1453,6
1488,5
1529,42
1563,28
1599,157
1643,6
1671,5
1710,39
1749,8
1786,5
1832,5
1861,258
1892,69
1925,7
1979,5
2018,7
2062,7
2107,26
2135,6
2172,10
2202,5
2231,19
2264,9
2301,7
2328,8
2363,5
2401,16
2429,12
2461,9
2489,5
2528,15
2569,21
2609,5
2644,8
2683,14
2729,6
2763,8
2800,5
2824,24
2858,6
2894,88
2935,137
2973,17
3015,11
3048,13
3079,13
3117,6
3151,12
3186,13
3229,9
3265,10
3305,5
3336,6
3383,5
3422,19
3465,5
3497,24
3530,26
3561,10
3601,6
3642,16
3682,6
3720,5
3759,13
3781,10
3814,6
3841,8
3869,19
3905,5
3955,10
3991,6
4026,10
4059,7
4099,7
4128,30
4178,10
4201,7
4234,6
4269,7
4308,16
4342,16
4373,8
4408,9
4449,5
4486,5
4522,8
4563,5
4602,9
4629,5
4674,11
4710,6
4742,7
4780,34
4821,44
4852,12
4885,19
4917,7
4960,6
5002,6
5033,10
5077,6
5110,6
5148,5
5171,8
5201,13
5242,29
5277,6
5301,11
5340,6
5373,10
5409,5
5442,6
5477,6
5511,15
5548,8
5584,5
5610,5
5648,6
5679,30
5719,8
5759,12
5786,5
5816,8
5845,9
5882,5
5925,21
5951,5
5991,7
6023,5
6056,31
6090,40
6128,5
6159,5
6190,6
6220,12
6257,6
6290,21
6328,6
6359,24
6384,5
6418,8
6457,14
6493,6
6526,9
6555,8
6592,9
6625,7
6654,5
6696,16
6729,80
6773,6
6807,7
6840,6
6865,5
6895,5
6942,5
6976,5
7014,5
7054,15
7091,41
7119,9
7146,7
7189,32
7220,9
7259,6
7292,7
7319,10
7351,12
7383,5
7429,11
7465,5
7510,5
7548,5
7581,5
7615,6
7648,5
7684,5
7716,7
7750,8
7789,69
7824,9
7859,9
7891,5
7924,7
7958,10
7994,15
8039,5
8080,8
8120,12
8157,11
8198,5
8238,7
8282,23
8316,5
8355,9
8386,7
8436,5
8473,5
8502,13
8553,7
8605,6
8628,6
8655,13
8689,5
8724,6
8767,6
8796,5
8839,15
8878,5
8909,11
8941,8
8982,20
9016,5
9045,6
9086,7
9120,5
9154,6
9184,5
9223,22
9262,6
9300,6
9338,14
9373,13
9414,5
9448,6
9484,15
9511,7
9550,21
9578,45
9629,7
9685,322
9714,5
9752,7
9787,14
9815,6
9844,158
9879,9
9918,5
9957,7
9988,5
10015,90
10054,7
10081,21
10121,15
10167,191
10198,24
10231,166
10262,19
10312,6
10336,6
10373,10
10403,20
10441,7
10472,11
10510,23
10544,29
10586,5
10613,7
10645,6
10675,78
10716,15
10757,18
10805,5
10834,9
10872,6
10908,26
10952,5
10978,24
11024,5
11061,7
11087,15
11120,10
11159,7
11195,17
11226,5
11270,7
11294,5
11334,29
11377,45
11412,7
11449,17
11496,234
11529,627
11559,8
11585,36
11629,5
11659,23
11688,7
11734,15
11773,6
11801,5
11831,23
11865,7
11905,5
11937,5
11983,15
12030,18
12058,8
12085,17
12116,23
12144,17
12186,13
12224,7
12257,8
12288,12
12321,10
12369,5
12400,18
12438,6
12476,13
12517,6
12557,7
12591,9
12623,12
12658,14
12704,12
12731,11
12764,11
12791,15
12828,34
12875,6
12903,44
12951,5
12983,5
13020,25
13060,6
13098,9
13135,12
13163,6
13192,9
13234,8
13262,13
13297,14
13325,5
13365,9
13398,56
13435,5
13475,6
13518,34
13547,55
13589,5
13619,5
13663,11
13711,5
13752,7
13790,7
13828,6
13875,6
13916,5
13951,13
13981,5
14005,5
14037,13
14086,5
14123,7
14157,30
14190,5
14235,19
14276,13
14310,5
14338,151
14367,9
14404,9
14430,5
14464,5
14502,18
14547,14
14577,5
14607,7
14649,7
14685,49
14725,14
14766,13
14802,7
14835,43
14877,13
14905,6
14934,6
14969,13
14995,7
15041,7
15079,5
15115,7
15155,5
15194,8
15225,5
15264,12
15302,9
15338,56
15374,5
15408,6
15441,5
15475,27
15504,7
15529,5
15564,14
15601,19
15630,11
15659,5
15703,5
15737,6
15769,25
15797,7
15828,5
15863,7
15896,13
15925,6
15956,7
15992,6
16029,6
16066,8
16095,8
16133,34
16169,5
16206,5
16244,11
16287,32
16321,14
16349,6
16380,8
16412,12
16446,9
16474,69
16503,19
16536,24
16568,5
16598,11
16633,9
16659,5
16683,7
16722,8
16761,17
16795,12
16836,38
16869,7
16920,6
16958,10
17007,27
17042,5
17081,5
17132,5
17161,126
17201,7
17243,6
17285,15
17328,6
17359,414
17398,5
17436,7
17492,118
17523,5
17562,13
17601,6
