arrival_time,job_size
15,15
19,6
33,14
43,9
74,6
136,77
144,13
154,24
159,23
169,9
225,6
226,14
230,10
233,17
270,10
314,7
361,16
376,6
409,17
438,39
484,6
512,8
516,8
603,18
620,6
628,8
629,55
675,9
714,9
726,7
745,7
749,62
758,12
764,7
788,19
802,10
827,8
869,7
875,6
911,12
924,6
939,9
951,13
977,24
985,7
1020,9
1047,6
1103,6
1117,25
1124,15
1135,8
1157,6
1165,6
1188,16
1220,6
1225,9
1227,27
1239,8
1252,10
1270,22
1283,6
1300,6
1302,7
1303,6
1317,7
1356,7
1394,52
1409,7
1432,16
1445,210
1518,7
1526,7
1558,10
1562,6
1564,7
1568,6
1582,13
1586,7
1623,6
1658,7
1680,10
1761,14
1843,10
1844,36
1852,8
1867,72
1905,10
1920,7
1956,6
1993,57
1994,6
1997,6
2003,6
2008,23
2010,6
2035,6
2036,50
2047,12
2048,25
2052,69
2053,14
2056,7
2067,9
2097,10
2125,6
2129,6
2166,17
2172,9
2196,6
2199,6
2206,18
2207,12
2228,6
2275,8
2300,12
2302,37
2305,7
2349,9
2361,6
2365,141
2372,8
2408,11
2419,6
2423,25
2449,9
2452,7
2464,12
2477,7
2489,7
2495,79
2503,9
2556,11
2564,12
2565,7
2569,6
2570,15
2576,11
2588,8
2618,24
2625,8
2627,8
2646,41
2649,19
2650,10
2661,12
2681,11
2699,6
2700,24
2792,94
2801,7
2827,15
2830,7
2833,10
2839,6
2918,7
2928,6
2976,49
3011,10
3053,14
3062,8
3088,8
3091,34
3094,30
3103,16
3136,11
3137,14
3142,110
3148,10
3172,6
3179,11
3183,12
3212,11
3219,6
3236,36
3245,30
3252,9
3286,11
3363,8
3379,7
3405,6
3438,8
3439,7
3441,12
3494,7
3507,10
3549,6
3553,47
3599,23
3614,11
3629,7
3640,78
3687,6
3700,12
3724,18
3728,13
3741,10
3752,6
3762,34
3768,19
3794,8
3801,32
3816,126
3818,8
3822,13
3889,81
3918,7
3920,69
3935,11
3984,7
4003,13
4004,11
4055,10
4070,14
4081,17
4084,6
4089,188
4112,21
4132,13
4135,6
4155,6
4158,6
4163,6
4180,10
4221,9
4222,8
4235,7
4241,8
4245,6
4264,20
4270,7
4273,9
4278,15
4279,15
4289,7
4298,7
4307,6
4342,6
4355,18
4365,1206
4366,9
4381,6
4394,30
4425,26
4474,8
4482,9
4519,23
4530,13
4566,9
4569,19
4577,6
4626,8
4633,6
4634,13
4635,6
4649,34
4650,10
4674,7
4679,11
4680,6
4689,16
4698,58
4711,11
4734,7
4749,51
4753,6
4760,18
4784,7
4793,16
4811,6
4829,6
4855,7
4888,6
4889,8
4898,6
4909,8
4944,9
4950,9
4968,14
4975,65
4981,37
5036,8
5051,6
5066,54
5068,7
5087,11
5095,14
5111,44
5121,6
5156,6
5157,6
5209,11
5211,32
5286,6
5292,29
5297,17
5336,7
5341,10
5350,7
5356,23
5367,7
5374,7
5397,9
5431,50
5432,9
5466,93
5493,7
5495,14
5543,9
5547,7
5566,13
5588,25
5664,8
5668,11
5699,24
5702,15
5703,12
5704,16
5715,6
5755,12
5782,16
5821,25
5840,57
5858,6
5875,7
5876,6
5891,6
5913,12
5921,13
5936,6
5938,26
5976,14
6013,35
6015,11
6021,13
6023,30
6089,8
6105,9
6122,6
6142,6
6144,34
6192,18
6203,193
6221,22
6234,6
6235,10
6237,9
6262,10
6292,12
6297,355
6311,8
6335,14
6364,10
6365,28
6366,14
6370,35
6419,27
6449,10
6459,14
6460,88
6558,6
6563,12
6568,6
6595,7
6644,35
6664,12
6666,23
6696,29
6720,6
6755,13
6779,6
6848,6
6900,14
6914,6
6916,10
6964,22
6976,12
6999,6
7001,6
7012,8
7024,9
7030,6
7048,1657
7051,8
7063,10
7068,26
7085,463
7089,61
7090,15
7116,19
7145,253
7181,13
7191,32
7231,6
7277,8
7290,8
7330,6
7334,9
7344,9
7383,10
7401,6
7424,8
7433,7
7445,16
7446,8
7522,7
7550,8
7552,6
7578,12
7582,96
7599,8
7612,7
7622,85
7625,9
7626,14
7656,6
7677,35
7688,28
7700,23
7710,13
7719,6
7775,8
7776,13
7796,6
7816,6
7820,18
7839,8
7846,6
7864,29
7870,11
7903,8
7910,8
7971,6
7978,24
7995,80
8006,15
8019,10
8025,6
8031,14
8049,8
8101,7
8109,6
8127,9
8129,55
8131,6
8146,7
8172,6
8173,6
8179,7
8261,27
8267,183
8269,10
8278,44
8291,6
8296,35
8307,11
8329,6
8373,14
8424,11
8439,6
8451,6
8464,15
8476,88
8484,7
8516,7
8517,8
8530,10
8552,12
8560,18
8581,7
8626,71
8634,16
8641,7
8653,7
8708,9
8709,6
8728,44
8730,7
8743,11
8763,10
8768,11
8788,28
8806,18
8820,6
8823,14
8833,6
8851,19
8863,11
8866,18
8912,14
8940,7
8951,7
8977,1731
9002,6
9012,10
9019,6
9024,12
9029,6
9033,57
9059,34
9072,6
9084,34
9107,315
9109,11
9148,7
9173,8
9184,12
9190,25
9225,6
9239,6
9302,35
9335,7
9363,10
9373,7
9379,10
9422,13
9423,11
9424,18
9447,30
9479,15
9482,17
9499,14
9509,12
9514,7
9528,11
9533,87
9588,7
9611,10
9639,7
9663,11
9672,8
9679,8
9696,14
9720,7
9728,11
9737,8
9758,8
9831,150
9882,86
9885,8
9911,11
9915,8
9926,16
9959,22
9976,6
9992,14
10001,20
10045,10
10048,16
10049,6
10080,6
10159,18
10184,10
10194,10
10212,17
10225,18
10269,40
10276,6
10302,14
10306,11
10308,11
10329,122
10330,6
10340,28
10348,51
10349,31
10406,6
10409,12
10433,8
10437,20
10457,6
10481,47
10502,6
10532,32
10534,7
10550,10
10558,8
10565,6
10584,6
10592,10
10598,11
10645,6
10656,8
10682,331
10690,14
10697,7
10717,865
10718,109
10721,9
10739,10
10763,30
10777,16
10792,6
10800,6
10838,10
10886,7
10892,6
10906,24
10926,8
10938,8
10942,8
10997,7
11029,47
11032,7
11057,40
11081,11
11086,15
11107,9
11116,11
11127,53
11164,6
11209,15
11215,6
11262,7
11277,6
11283,11
11320,15
11350,7
11353,8
11372,7
11395,32
11429,7
11439,8
11442,322
11475,8
11486,18
11505,6
11515,7
11563,32
11596,6
11607,45
11617,12
11625,8
11627,17
11665,12
11676,9
11727,11
11730,13
11732,6
11737,8
11738,11
11746,14
11762,168
11792,12
11829,19
11851,6
11852,8
11856,7
11858,123
11887,31
11911,7
11912,22
11917,90
11933,34
11939,23
11960,72
11988,14
11996,9
12017,18
12053,424
12062,6
12097,11
12108,6
12123,6
12132,6
12151,6
12243,6
12275,12
12277,13
12281,36
12306,22
12308,7
12326,62
12331,8
12348,28
12351,41
12355,30
12384,7
12428,6
12444,26
12480,16
12500,10
12548,8
12596,13
12632,8
12634,7
12655,8
12663,6
12674,23
12690,13
12707,15
12715,9
12729,8
12752,8
12773,12
12789,7
12807,13
12832,36
12854,20
12859,9
12870,9
12888,118
12916,12
12927,25
12961,7
12977,6
12989,6
13048,12
13074,7
13075,9
13095,9
13135,7
13167,9
13201,11
13211,7
13259,6
13260,13
13331,11
13337,9
13342,6
13351,8
13370,6
13410,6
13425,7
13439,6
13457,10
13495,33
13501,11
13504,12
13505,6
13506,13
13523,23
13525,8
13573,15
13577,29
13603,7
13604,7
13607,24
13611,6
13621,13
13665,124
13667,14
13670,24
13695,17
13736,7
13741,7
13760,9
13848,7
13863,14
13864,14
13897,45
13917,13
13951,8
13986,15
14026,8
14037,30
14047,16
14048,6
14051,6
14066,43
14108,7
14134,9
14184,7
14188,28
14206,12
14211,88
14229,80
14252,7
14335,10
14358,7
14383,8
14402,20
14459,11
14464,69
14484,6
14486,8
14497,6
14547,7
14553,46
14559,12
14560,6
14576,6
14634,6
14655,17
14680,17
14700,9
14727,39
14794,26
14797,10
14813,10
14824,7
14828,8
14841,7
14857,19
14859,17
14911,14
14932,13
14939,10
14957,16
14975,6
14978,40
14999,18
15017,19
15045,40
15057,7
15068,17
15072,6
15091,13
15185,9
15189,48
15228,14
15231,7
15248,25
15254,22
15283,29
15284,6
15301,515
15306,25
15320,16
15452,697
15469,7
15507,6
15509,19
15515,9
15527,19
15534,6
15580,6
15591,7
15600,328
15609,12
15639,6
15651,50
15659,13
15662,8
15680,7
15741,6
15744,6
15749,6
15776,9
15812,7
15849,6
15859,12
15874,10
15901,8
15973,40
15981,8
16021,13
16043,7
16065,106
16090,16
16094,15
16127,6
16148,9
16158,6
16174,15
16185,1154
16221,7
16245,12
16270,8
16286,6
16353,6
16365,13
16369,6
16386,13
16446,24
16484,7
16528,20
16538,58
16547,21
16558,11
16573,161
16574,85
16616,14
16665,31
16750,8
16776,6
16777,148
16790,10
16847,6
16861,8
16890,11
16907,15
16958,8
16974,59
16975,48
17024,8
17033,7
17059,8
17084,7
17137,7
17173,13
17184,37
17197,16
17211,8
17243,8
17272,27
17293,33
17300,14
17308,8
17312,6
17329,36
17341,30
17346,8
17359,35
17365,7
17376,9
17396,7
17439,9
17442,170
17466,92
17486,570
17506,9
17539,6
17542,7
17600,6
17631,6
17674,13
17683,36
17698,7
17724,59
17729,8
17851,6
17896,7
17951,6
17993,9
18008,16
18033,9
18041,8
18045,9
18096,25
18135,8
18158,115
18164,20
18209,6
18212,15
18236,14
18237,6
18238,7
18275,6
18282,36
18287,21
18308,7
18367,9
18417,12
18439,6
18455,14
18474,8
18503,20
18505,6
18530,8
18571,6
18583,50
18595,9
18607,6
18622,24
18631,20
18643,8
18647,6
18694,8
18697,26
18741,6
18742,8
18753,7
18759,38
18772,8
18779,12
18788,8
18805,6
18812,10
18820,76
18833,15
18895,30
18937,6
18942,7
18983,54
19001,59
19032,9
19051,7
19077,7
19103,8
19125,13
19138,63
19142,10
19174,7
19221,6
19222,6
19241,17
19358,8
19366,10
19386,10
19392,11
19396,18
19414,17
19421,9
19424,20
19451,8
19485,6
19550,20
19582,12
19617,31
19618,7
19648,15
19653,6
19738,12
19745,9
19793,8
19794,6
19828,6
19830,44
19839,315
19843,34
19867,30
19870,10
19878,42
19883,6
19945,146
19981,7
19985,14
20009,8
20012,44
20028,9
20111,14
20117,43
20148,7
20152,6
20163,8
20206,10
20222,8
20242,14
20244,8
20305,7
20319,6
20327,242
20331,20
20333,6
20334,49
20375,6
20424,7
20463,10
20492,14
20497,7
20524,7
20526,6
20539,9
20563,8
20565,9
20574,6
20605,33
20615,9
20625,6
20631,286
20657,6
20659,13
20725,66
20726,26
20779,16
20854,11
20879,45
20884,16
20905,8
20944,14
20959,11
20971,12
21008,6
21020,14
21034,11
21036,6
21051,7
21095,57
21119,6
21127,14
21214,9
21217,8
21241,9
21244,15
21303,17
21315,18
21332,11
21342,12
21357,9
21390,8
21403,14
21412,18
21425,8
21539,35
21573,11
21584,7
21612,46
21660,9
21677,12
21696,145
21709,47
21717,86
21728,8
21783,27
21823,39
21828,12
21836,6
21839,10
21871,7
21915,12
21926,7
21973,8
21989,16
22013,44
22020,9
22044,16
22048,12
22050,12
22054,10
22098,7
22120,7
22138,11
22153,11
22160,10
22170,121
22178,9
22206,6
22213,6
22245,16
22260,6
22280,6
22309,10
22318,11
22325,10
22340,123
22396,14
22425,7
22445,48
22491,46
22496,14
22504,8
22516,6
22534,62
22541,22
22568,33
22572,26
22574,13
22596,134
22639,10
22654,39
22657,123
22687,30
22693,40
22725,6
22730,10
22733,21
22765,915
22795,8
22811,6
22821,6
22826,22
22888,7
22890,7
22891,10
22920,15
22934,6
22937,21
22948,7
22975,8
23005,9
23032,834
23034,6
23048,21
23072,6
23077,33
23086,7
23098,45
23116,6
23159,22
23167,7
23171,31
23177,16
23277,19
23293,17
23298,12
23318,8
23322,33
23331,6
23350,45
23365,7
23383,262
23387,148
23401,21
23417,8
23482,12
23500,68
23545,23
23548,25
23588,12
23597,7
23623,6
23624,10
23636,7
23687,21
23695,10
23706,6
23739,11
23770,12
23771,60
23772,6
23790,14
23806,8
23807,8
23818,8
23831,8
23887,8
23916,6
23931,14
23940,18
23965,8
23969,8
23989,31
23998,15
24001,6
24015,11
24021,6
24034,28
24066,7
24085,14
24121,27
24149,27
24157,21
24174,79
24196,13
24216,21
24226,15
24236,8
24246,12
24267,10
24284,31
24289,13
24306,11
24344,42
24353,6
24359,7
24365,14
24392,22
24418,20
24504,6
24544,7
24573,30
24580,6
24602,6
24632,2590
24667,10
24693,12
24694,9
24724,24
24733,7
24752,21
24763,84
24775,57
24830,6
24861,9
24870,8
24876,8
24916,16
24918,9
24919,10
24943,50
24947,6
24948,18
24972,10
25013,12
25014,50
25018,7
25020,64
25064,69
25088,18
25111,20
25113,32
25117,7
25131,10
25140,6
25142,23
25148,9
25172,6
25203,6
25250,7
25287,10
25304,7
25314,7
25347,6
25377,13
25378,14
25422,6
25446,23
25456,20
25503,20
25505,8
25516,17
25524,14
25530,11
25588,13
25602,44
25606,16
25644,9
25646,23
25657,192
25694,7
25695,8
25724,6
25735,13
25743,19
25757,12
25763,10
25766,7
25791,9
25823,6
25867,6
25870,19
25889,10
25898,12
25904,10
25939,102
25947,14
25949,12
25969,31
25972,22
25980,7
26019,11
26036,86
26047,8
26064,9
26167,2024
26187,14
26188,7
26279,7
26311,78
26325,15
26328,8
26344,7
26356,14
26362,22
26366,8
26370,7
26375,8
26434,6
26457,6
26462,16
26465,7
26473,16
26500,36
26504,10
26506,7
26537,16
26558,7
26597,6
26599,38
26612,14
26630,27
26680,12
26684,8
26686,14
26710,11
26744,17
26763,14
26789,8
26797,15
26833,78
26861,53
26864,12
26885,6
26908,23
26960,7
26969,8
26975,44
26981,8
27043,29
27050,14
27053,18
27065,34
27083,6
27098,24
27137,25
27142,131
27158,7
27194,106
27230,6
27231,14
27241,6
27254,17
27291,8
27308,7
27316,8
27340,58
27341,6
27376,7
27394,6
27406,27
27426,9
27438,987
27468,20
27489,6
27523,20
27535,10
27550,6
27591,6
27646,12
27656,6
27702,9
27712,109
27762,6
27778,40
27809,6
27834,8
27857,6
27880,12
27887,14
27917,9
27943,8
27944,13
27951,7
27966,64
27985,46
27996,34
28004,52
28022,7
28042,33
28045,12
28090,10
28153,45
28184,20
28202,298
28239,6
28240,8
28274,6
28280,7
28297,21
28313,8
28372,18
28397,11
28407,7
28419,53
28427,11
28442,6
28448,9
28471,6
28478,23
28496,15
28500,11
28518,14
28556,8
28565,10
28593,7
28603,17
28629,8
28633,6
28643,10
28646,7
28647,204
28660,9
28668,10
28691,24
28697,6
28734,10
28750,8
28754,6
28758,16
28773,8
28785,7
28808,7
28817,9
28818,11
28819,6
28870,12
28882,7
28888,7
28913,6
28919,17
28924,383
28958,8
28980,13
28985,10
29128,7
29135,6
29143,8
29144,7
29145,139
29173,29
29177,9
29188,6
29213,9
29232,11
29248,11
29273,11
29301,60
29341,10
29363,10
29434,13
29438,8
29443,8
29465,10
29525,17
29535,18
29538,6
29579,12
29580,17
29649,6
29661,7
29694,10
29712,101
29740,13
29752,9
29785,19
29796,33
29844,6
29868,7
29905,8
29918,147
29937,10
29946,42
29955,7
29958,8
29960,7
29966,21
29975,17
29989,93
29994,11
30000,35
30001,12
30021,7
30045,10
30058,22
30083,8
30088,21
30130,22
30133,10
30140,10
30156,16
30195,6
30200,6
30253,13
30254,78
30273,9
30298,43
30329,7
30352,6
30357,6
30363,7
30375,8
30390,16
30407,7
30418,11
30421,6
30455,6
30466,6
30520,32
30565,77
30599,12
30605,6
30606,9
30621,15
30642,6
30643,9
30683,34
30704,3437
30710,11
30716,8
30720,18
30736,7
30755,7
30764,23
30775,7
30776,7
30780,6
30812,10
30818,14
30843,7
30845,6
30880,12
30902,28
30907,10
30909,11
30995,31
30996,12
30998,10
31028,8
31035,6
31048,14
31083,36
31084,11
31094,67
31126,21
31128,16
31144,17
31156,7
31186,107
31187,18
31194,7
31198,45
31232,51
31268,8
31277,38
31286,23
31297,13
31304,143
31310,6
31363,12
31377,8
31401,9
31425,7
31428,16
31447,7
31448,8
31453,84
31486,6
31501,6
31528,7
31537,10
31546,11
31549,13
31558,13
31571,8
31613,20
31627,17
31637,9
31671,7
31699,40
31726,25
31740,6
31749,34
31760,6
31806,6
31812,41
31845,7
31848,7
31862,6
31863,6
31866,98
31892,31
31913,19
31915,36
31924,7
31928,8
31974,7
32020,9
32037,20
32042,7
32049,21
32060,25
32093,10
32097,7
32104,6
32134,6
32192,19
32201,18
32231,8
32258,19
32279,34
32370,14
32403,12
32418,25
32424,18
32485,8
32494,20
32518,20
32528,7
32539,7
32553,33
32573,7
32574,6
32588,59
32597,6
32604,8
32611,224
32622,9
32632,10
32653,6
32695,16
32726,25
32789,9
32794,8
32798,10
32849,6
32855,7
32915,6
32916,8
32975,14
32990,29
33039,6
33051,9
33060,10
33084,15
33090,6
33107,10
33131,6
33134,127
33143,10
33278,139
33328,20
33331,7
33345,9
33374,11
33384,6
33396,9
33421,18
33455,25
33490,6
33518,95
33527,20
33546,6
33558,6
33593,42
33629,6
33635,8
33637,9
33670,6
33690,28
33691,32
33737,9
33767,7
33799,30
33804,8
33807,51
33809,9
33826,141
33852,14
33884,12
33892,15
33893,14
33923,19
33936,12
34001,16
34004,10
34022,23
34033,13
34061,7
34091,9
34227,12
34238,25
34283,23
34311,9
34312,20
34317,10
34350,8
34359,8
34363,6
34389,21
34396,10
34399,6
34400,6
34426,6
34435,8
34475,20
34508,18
34514,17
34573,18
34589,14
34591,6
34611,7
34630,6
34651,8
34667,8
34687,6
34737,30
34756,9
34765,43
34775,190
34800,12
34864,11
34899,7
34904,10
34909,33
34910,6
34912,7
34930,6
34977,20
34978,7
34986,9
34991,11
34993,35
35007,10
35009,13
35076,122
35105,12
35147,14
35151,24
35189,49
35227,20
35234,8
35285,6
35297,6
35306,6
35311,21
35317,13
35341,61
35357,6
35400,14
35426,8
35434,8
35443,41
35480,11
35500,7
35510,10
35519,9
35555,45
35560,11
35594,36
35664,9
35670,8
35698,7
35731,27
35751,22
35760,6
35779,7
35801,64
35808,27
35811,31
35821,42
35849,10
35860,6
35863,13
35907,25
35991,81
36006,7
36018,7
36023,20
36026,10
36042,6
36049,25
36097,38
36132,10
36160,8
36161,11
36184,11
36218,10
36221,10
36235,21
36237,16
36266,14
36284,8
36288,13
36304,7
36331,12
36336,13
36357,7
36403,22
36413,10
36462,15
36469,6
36471,8
36516,10
36600,6
36633,17
36640,14
36670,15
36685,7
36697,8
36742,22
36778,13
36844,12
36867,7
36869,9
36907,11
36916,7
36966,30
36980,9
36981,6
37046,19
37060,9
37088,10
37105,417
37109,13
37128,6
37151,22
37164,7
37194,11
37215,6
37223,20
37227,11
37254,15
37265,9
37291,7
37311,81
37327,32
37352,8
37356,6
37358,12
37377,6
37417,6
37418,8
37474,15
37490,10
37522,6
37524,25
37529,7
37574,78
37578,6
37716,7
37736,9
37737,8
37759,16
37761,7
37763,6
37797,7
37812,20
37813,13
37817,31
37820,10
37859,39
37877,31
37882,10
37889,16
37897,11
37899,13
37926,9
37931,59
37943,20
37962,10
37988,6
38005,7
38037,8
38064,15
38072,7
38100,6
38119,8
38147,8
38166,40
38170,18
38195,14
38200,6
38218,15
38228,6
38329,6
38358,7
38363,7
38432,7
38450,7
38477,10
38478,28
38500,13
38525,138
38567,35
38607,7
38647,15
38682,12
38687,19
38691,6
38698,7
38703,17
38731,6
38744,12
38763,8
38774,33
38796,11
38857,6
38876,16
38897,15
38913,7
38967,16
38989,8
39006,93
39018,6
39041,6
39051,22
39079,33
39082,9
39084,6
39103,7
39123,7
39127,6
39142,6
39148,11
39194,15
39215,133
39217,29
39266,6
39309,38
39365,8
39389,14
39412,14
39425,31
39477,9
39526,8
39551,54
39585,12
39591,51
39600,11
39614,13
39629,110
39642,17
39647,25
39657,6
39677,7
39687,22
39695,21
39705,7
39777,6
39790,25
39796,11
39797,6
39816,18
39846,12
39853,16
39870,7
39902,17
39917,18
39992,7
40037,74
40073,140
40078,20
40080,7
40085,12
40098,21
40103,27
40138,139
40160,28
40217,24
40227,19
40295,26
40297,14
40319,13
40326,14
40390,63
40393,14
40404,24
40425,8
40461,14
40463,7
40486,9
40498,6
40526,6
40546,23
40550,16
40604,86
40616,6
40637,10
40641,6
40704,7
40706,91
40722,7
40763,8
40786,10
40787,8
40839,6
40851,7
40858,6
40874,32
40875,6
40876,10
40877,6
40890,46
40914,25
40946,11
40956,13
40977,46
40979,38
41009,6
41020,35
41025,6
41032,6
41113,11
41127,13
41131,7
41150,6
41184,12
41194,15
41209,14
41235,14
41255,10
41270,42
