arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
22.00,4.64,32768,0.60,99.40,500
32.00,16.77,64,99.20,0.80,500
30.00,5.65,4096,0.80,99.20,500
30.00,30.00,15,97.80,2.20,500
32.00,30.00,15,97.20,2.80,500
40.00,30.00,12,92.40,7.60,500
24.00,4.07,262144,0.40,99.60,500
30.00,4.64,32768,0.20,99.80,500
40.00,30.00,15,85.20,14.80,500
38.00,16.77,64,96.20,3.80,500
40.00,30.00,6,99.80,0.20,500
32.00,30.00,9,99.40,0.60,500
36.00,30.00,9,99.60,0.40,500
36.00,30.00,18,80.40,19.60,500
32.00,30.00,12,99.20,0.80,500
32.00,30.00,6,99.80,0.20,500
34.00,16.77,64,98.60,1.40,500
34.00,30.00,12,98.60,1.40,500
38.00,30.00,6,99.40,0.60,500
30.00,30.00,9,99.60,0.40,500
30.00,4.07,262144,0.00,100.00,500
40.00,16.77,64,94.00,6.00,500
36.00,30.00,15,90.00,10.00,500
32.00,30.00,18,92.20,7.80,500
34.00,30.00,6,99.80,0.20,500
36.00,30.00,6,99.80,0.20,500
40.00,5.65,4096,0.20,99.80,500
40.00,7.92,512,0.80,99.20,500
34.00,4.07,262144,0.60,99.40,500
28.00,4.64,32768,0.00,100.00,500
32.00,4.07,262144,0.40,99.60,500
38.00,30.00,9,98.80,1.20,500
40.00,30.00,9,99.00,1.00,500
20.00,4.07,262144,0.00,100.00,500
34.00,30.00,18,89.00,11.00,500
32.00,7.92,512,1.20,98.80,500
32.00,4.64,32768,0.00,100.00,500
34.00,30.00,9,99.40,0.60,500
34.00,30.00,15,95.00,5.00,500
36.00,16.77,64,98.00,2.00,500
38.00,30.00,12,95.20,4.80,500
28.00,4.07,262144,0.00,100.00,500
34.00,4.64,32768,0.00,100.00,500
30.00,30.00,12,99.40,0.60,500
26.00,4.64,32768,0.00,100.00,500
34.00,7.92,512,0.60,99.40,500
40.00,30.00,18,70.40,29.60,500
38.00,4.64,32768,0.20,99.80,500
38.00,30.00,15,90.00,10.00,500
20.00,4.64,32768,0.40,99.60,500
36.00,30.00,12,97.80,2.20,500
38.00,4.07,262144,1.00,99.00,500
40.00,4.64,32768,0.20,99.80,500
38.00,7.92,512,0.40,99.60,500
24.00,5.65,4096,0.20,99.80,500
30.00,7.92,512,0.80,99.20,500
38.00,5.65,4096,0.20,99.80,500
34.00,5.65,4096,0.20,99.80,500
36.00,7.92,512,0.20,99.80,500
36.00,5.65,4096,0.00,100.00,500
36.00,4.64,32768,0.20,99.80,500
36.00,4.07,262144,0.20,99.80,500
26.00,5.65,4096,0.20,99.80,500
40.00,4.07,262144,0.20,99.80,500
38.00,30.00,18,79.80,20.20,500
28.00,5.65,4096,0.40,99.60,500
24.00,4.64,32768,0.00,100.00,500
26.00,4.07,262144,0.40,99.60,500
