arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage
20.0,4.07,262144,0.0,100.0
20.0,4.64,32768,0.0,100.0
20.0,5.65,4096,0.0,100.0
20.0,7.92,512,0.0,100.0
20.0,16.77,64,99.75,0.25
22.0,4.07,262144,0.0,100.0
22.0,4.64,32768,0.0,100.0
22.0,5.65,4096,0.0,100.0
22.0,7.92,512,0.0,100.0
22.0,16.77,64,99.75,0.25
24.0,4.07,262144,0.0,100.0
24.0,4.64,32768,0.0,100.0
24.0,5.65,4096,0.0,100.0
24.0,7.92,512,0.0,100.0
24.0,16.77,64,99.75,0.25
26.0,4.07,262144,0.0,100.0
26.0,4.64,32768,0.0,100.0
26.0,5.65,4096,0.0,100.0
26.0,7.92,512,0.0,100.0
26.0,16.77,64,99.75,0.25
28.0,4.07,262144,0.0,100.0
28.0,4.64,32768,0.0,100.0
28.0,5.65,4096,0.0,100.0
28.0,7.92,512,1.6,98.4
28.0,16.77,64,99.75,0.25
30.0,4.07,262144,0.0,100.0
30.0,4.64,32768,0.0,100.0
30.0,5.65,4096,0.0,100.0
30.0,7.92,512,80.95,19.05
30.0,16.77,64,99.75,0.25
32.0,4.07,262144,0.0,100.0
32.0,4.64,32768,0.0,100.0
32.0,5.65,4096,0.0,100.0
32.0,7.92,512,15.675,84.325
32.0,16.77,64,99.75,0.25
34.0,4.07,262144,0.0,100.0
34.0,4.64,32768,0.0,100.0
34.0,5.65,4096,0.0,100.0
34.0,7.92,512,0.0,100.0
34.0,16.77,64,99.75,0.25
36.0,4.07,262144,0.0,100.0
36.0,4.64,32768,0.0,100.0
36.0,5.65,4096,0.0,100.0
36.0,7.92,512,0.0,100.0
36.0,16.77,64,99.75,0.25
38.0,4.07,262144,0.0,100.0
38.0,4.64,32768,0.0,100.0
38.0,5.65,4096,0.0,100.0
38.0,7.92,512,0.0,100.0
38.0,16.77,64,99.75,0.25
40.0,4.07,262144,0.0,100.0
40.0,4.64,32768,0.0,100.0
40.0,5.65,4096,0.0,100.0
40.0,7.92,512,0.0,100.0
40.0,16.77,64,99.75,0.25
