arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
20,4.073,262144,48639294.4527318
20,4.639,32768,47374402.1718971
20,5.649,4096,48444349.184549406
20,7.918,512,48372496.763998106
20,16.772,64,48286706.6077584
20,30.0,6,48423867.3569456
20,30.0,9,48362044.546388604
20,30.0,12,48612368.9891401
20,50.0,25,4496374.043762
20,250.0,100,33744501.4786683
20,1000.0,400,142986379.89003602
22,4.073,262144,40152211.228023
22,4.639,32768,39172964.18048979
22,5.649,4096,37638558.22552501
22,7.918,512,39472562.7184916
22,16.772,64,39186449.7589181
22,30.0,6,39449828.9775951
22,30.0,9,39500971.828699805
22,30.0,12,39544011.316764295
22,50.0,25,4195504.451104799
22,250.0,100,33314550.187212307
22,1000.0,400,143430158.968572
24,4.073,262144,36135880.8404675
24,4.639,32768,33790630.3239213
24,5.649,4096,28575017.388937198
24,7.918,512,29732540.5447887
24,16.772,64,29799504.9853715
24,30.0,6,30333460.892822403
24,30.0,9,29951138.061227404
24,30.0,12,30246789.1763129
24,50.0,25,3911214.9296405995
24,250.0,100,33228474.2166314
24,1000.0,400,143041577.68374258
26,4.073,262144,20741267.983225
26,4.639,32768,21078889.8187429
26,5.649,4096,20094621.031092096
26,7.918,512,20387603.945330903
26,16.772,64,20769708.0644635
26,30.0,6,20620263.3067282
26,30.0,9,20514139.3655646
26,30.0,12,20900792.0040965
26,50.0,25,3652719.3876342997
26,250.0,100,32847026.256122
26,1000.0,400,142780554.030998
28,4.073,262144,17160630.4011698
28,4.639,32768,10689078.029274601
28,5.649,4096,11996260.60114
28,7.918,512,11769241.1169358
28,16.772,64,11384104.0699435
28,30.0,6,11137610.855033599
28,30.0,9,11408012.616920501
28,30.0,12,11472513.900707299
28,50.0,25,3348646.9045139
28,250.0,100,32625280.8457013
28,1000.0,400,141958258.9757151
30,4.073,262144,13570711.333330601
30,4.639,32768,9192575.7975164
30,5.649,4096,3516987.1294546006
30,7.918,512,2770832.5136239
30,16.772,64,2566664.3383947
30,30.0,6,2663188.7048724005
30,30.0,9,2554986.3492911
30,30.0,12,2732061.9464196
30,50.0,25,3040827.8359431
30,250.0,100,32441477.2701002
30,1000.0,400,141575188.3495642
32,4.073,262144,14909672.747391403
32,4.639,32768,4670424.3919804
32,5.649,4096,1233222.1485512
32,7.918,512,365570.0813267
32,16.772,64,95455.98733609999
32,30.0,6,88615.1400018
32,30.0,9,98159.19381980001
32,30.0,12,109462.3520242
32,50.0,25,2758828.4314117
32,250.0,100,32045576.133252196
32,1000.0,400,141550365.39017358
34,4.073,262144,9561056.067719098
34,4.639,32768,3218095.9352473007
34,5.649,4096,652632.9362801999
34,7.918,512,153430.53755739998
34,16.772,64,49078.156198599994
34,30.0,6,43513.531374900005
34,30.0,9,47853.7050235
34,30.0,12,49985.09903690001
34,50.0,25,2477238.2827843
34,250.0,100,31756123.465281896
34,1000.0,400,141265947.60195938
36,4.073,262144,6771012.563425499
36,4.639,32768,2217204.3006694
36,5.649,4096,454209.7484503
36,7.918,512,101159.0672171
36,16.772,64,33391.956895
36,30.0,6,31024.901937
36,30.0,9,32303.658860999996
36,30.0,12,34064.4842105
36,50.0,25,2202893.4654022
36,250.0,100,31389720.978732698
36,1000.0,400,140704863.8336136
38,4.073,262144,6133158.526431401
38,4.639,32768,2363556.9889753
38,5.649,4096,337388.81491180003
38,7.918,512,73427.50045800002
38,16.772,64,26374.658322099996
38,30.0,6,23872.4522503
38,30.0,9,24969.1246526
38,30.0,12,25874.301211799997
38,50.0,25,1879125.1303255
38,250.0,100,31204615.6969823
38,1000.0,400,141644411.5388648
40,4.073,262144,6841796.8893646
40,4.639,32768,1309313.1939575
40,5.649,4096,284478.67797330004
40,7.918,512,64348.031403600005
40,16.772,64,22259.0680902
40,30.0,6,20116.8249976
40,30.0,9,20626.684522100004
40,30.0,12,22313.8980145
40,50.0,25,1660319.4130105
40,250.0,100,30838215.256451
40,1000.0,400,140506958.8487499
