arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,93.4,6.6
20.0,7.918,86.8,13.2
20.0,5.649,8.1,91.9
20.0,4.639,10.5,89.5
20.0,4.073,4.7,95.3
22.0,16.772,92.6,7.4
22.0,7.918,20.6,79.4
22.0,5.649,10.8,89.2
22.0,4.639,2.8,97.2
22.0,4.073,6.5,93.5
24.0,16.772,94.6,5.4
24.0,7.918,16.8,83.2
24.0,5.649,7.0,93.0
24.0,4.639,15.1,84.9
24.0,4.073,11.9,88.1
26.0,16.772,94.1,5.9
26.0,7.918,7.4,92.6
26.0,5.649,5.5,94.5
26.0,4.639,8.3,91.7
26.0,4.073,20.0,80.0
28.0,16.772,93.2,6.8
28.0,7.918,20.7,79.3
28.0,5.649,19.0,81.0
28.0,4.639,8.7,91.3
28.0,4.073,8.4,91.6
30.0,16.772,95.1,4.9
30.0,7.918,19.5,80.5
30.0,5.649,7.7,92.3
30.0,4.639,12.9,87.1
30.0,4.073,3.5,96.5
32.0,16.772,98.5,1.5
32.0,7.918,7.0,93.0
32.0,5.649,6.9,93.1
32.0,4.639,6.8,93.2
32.0,4.073,4.5,95.5
34.0,16.772,96.1,3.9
34.0,7.918,13.6,86.4
34.0,5.649,6.8,93.2
34.0,4.639,7.0,93.0
34.0,4.073,8.7,91.3
36.0,16.772,99.2,0.8
36.0,7.918,8.5,91.5
36.0,5.649,7.7,92.3
36.0,4.639,7.2,92.8
36.0,4.073,4.7,95.3
38.0,16.772,97.6,2.4
38.0,7.918,1.3,98.7
38.0,5.649,2.2,97.8
38.0,4.639,3.8,96.2
38.0,4.073,1.3,98.7
40.0,16.772,97.5,2.5
40.0,7.918,12.2,87.8
40.0,5.649,11.9,88.1
40.0,4.639,3.3,96.7
40.0,4.073,6.0,94.0
