frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,73266075.227531,2179018.0
4,73025311.50756219,2133363.9
8,73410658.5224619,2195593.2
16,73969296.59432289,2279080.0
32,74244237.119562,2190306.1
64,76462010.4051674,2207330.3
128,76440059.6078701,2165673.6
256,76724495.598782,2201125.8
512,76182811.8939075,2160251.8
1024,77043006.29066929,2174969.0
2048,78593215.5293469,2206182.9
4096,75929120.9516459,2194061.4
8192,81346749.7237863,2228946.6
16384,77449316.3500502,2175690.5
32768,79503542.6861999,2188210.8
65536,87447167.5638286,2150467.1
