arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
20,13.0,262144,129107593.1975061
20,15.3,32768,164662061.1175639
20,19.7,4096,228846247.42805052
20,32.3,512,365583184.9225451
22,13.0,262144,121140133.38240659
22,15.3,32768,156818877.55715936
22,19.7,4096,220615159.12146464
22,32.3,512,356268734.30075574
24,13.0,262144,114263375.53096011
24,15.3,32768,148981112.8552695
24,19.7,4096,213213408.5008043
24,32.3,512,347452872.69503677
26,13.0,262144,107872489.6920584
26,15.3,32768,141368286.4011247
26,19.7,4096,204037855.2448048
26,32.3,512,338931493.37421083
28,13.0,262144,100891676.1279024
28,15.3,32768,134367799.34642798
28,19.7,4096,195889887.35425782
28,32.3,512,329393913.4392482
30,13.0,262144,94760599.96995091
30,15.3,32768,127738007.0628918
30,19.7,4096,188124779.32099447
30,32.3,512,320603683.1856037
32,13.0,262144,88523903.3265471
32,15.3,32768,121066098.5908126
32,19.7,4096,182199453.31444192
32,32.3,512,309971544.35207117
34,13.0,262144,81100628.3495572
34,15.3,32768,114705275.7755628
34,19.7,4096,174005779.6331789
34,32.3,512,300733373.89462245
36,13.0,262144,75751619.75143611
36,15.3,32768,108000262.2831702
36,19.7,4096,167063132.6798819
36,32.3,512,292789798.4202243
38,13.0,262144,70925511.7612381
38,15.3,32768,99944462.49535361
38,19.7,4096,157015354.18686432
38,32.3,512,285340367.925502
40,13.0,262144,64496743.0082008
40,15.3,32768,96447513.2318036
40,19.7,4096,152720779.52430183
40,32.3,512,272761930.74871206
