frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,39291505.005618416,1813483
4,715065.2861557468,108014
8,22289657.08981078,1099859
16,22612156.438903853,1121352
32,815917.1053458801,415831
64,855421.9078536626,423534
128,23669703.19947105,1147112
256,22418605.699961293,1043126
512,1612163.2529511396,594402
1024,21525585.782405388,1149532
2048,21196097.658129644,1085856
4096,650034.2414273267,272306
8192,18707632.65920437,1166135
16384,22392224.828369934,1172218
32768,11162863.359751206,1036549
65536,34812448.29889307,1662734
