arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
20,4.073,262144,4837069.1919412
20,4.639,32768,7738099.079420699
20,5.649,4096,14100616.2866261
20,7.918,512,28110657.7781914
20,16.772,64,58690362.53117891
20,30.0,6,67637009.6724479
20,30.0,9,64416844.35042
20,30.0,12,61460150.18095861
20,50.0,25,4235310.1036682995
20,250.0,100,28940330.9490897
20,1000.0,400,120699238.0579519
22,4.073,262144,3297181.4347365005
22,4.639,32768,5728364.904983001
22,5.649,4096,11051114.159487803
22,7.918,512,23900524.477746904
22,16.772,64,52415269.66963519
22,30.0,6,60752005.4294223
22,30.0,9,57836119.921018004
22,30.0,12,54981065.36244659
22,50.0,25,4054768.3924415996
22,250.0,100,28565101.4559142
22,1000.0,400,121341399.4587396
24,4.073,262144,2345590.3936819
24,4.639,32768,4109475.8919240995
24,5.649,4096,8272495.1376794
24,7.918,512,19228585.2574542
24,16.772,64,44940436.697932795
24,30.0,6,53504782.67913319
24,30.0,9,49864871.9267908
24,30.0,12,47537536.055446304
24,50.0,25,3890995.7718111994
24,250.0,100,28565527.627556395
24,1000.0,400,120704219.13583489
26,4.073,262144,2260169.3809219
26,4.639,32768,2756210.5125457
26,5.649,4096,5884941.4102599
26,7.918,512,14755075.9658123
26,16.772,64,37068773.827786304
26,30.0,6,43410344.1390573
26,30.0,9,40983910.762742296
26,30.0,12,38952794.306666896
26,50.0,25,3747427.8369318
26,250.0,100,28304328.533887297
26,1000.0,400,120707819.4057844
28,4.073,262144,3313408.0565601997
28,4.639,32768,1586440.6175532
28,5.649,4096,3886146.7623133003
28,7.918,512,10265575.3076981
28,16.772,64,26433160.605047904
28,30.0,6,31094792.803731203
28,30.0,9,29728513.703462195
28,30.0,12,27851096.619504195
28,50.0,25,3572115.778711499
28,250.0,100,28177173.7089277
28,1000.0,400,120044814.75673628
30,4.073,262144,3458237.0184182003
30,4.639,32768,1406230.4769727003
30,5.649,4096,1353849.3177223
30,7.918,512,3721356.4095023004
30,16.772,64,10621587.0936179
30,30.0,6,12843673.992371302
30,30.0,9,12060129.997505601
30,30.0,12,11438850.0341409
30,50.0,25,3376103.9437781
30,250.0,100,28065711.2169285
30,1000.0,400,119638109.14144051
32,4.073,262144,4702750.039017899
32,4.639,32768,1043025.5950598
32,5.649,4096,397805.2300428
32,7.918,512,358238.0068513
32,16.772,64,206915.0755392
32,30.0,6,247073.1103842
32,30.0,9,265813.87343429995
32,30.0,12,272376.1882656
32,50.0,25,3192860.9829924996
32,250.0,100,27754376.682757504
32,1000.0,400,119737538.07957509
34,4.073,262144,1915503.4141777002
34,4.639,32768,1015018.1989280002
34,5.649,4096,244471.0077621
34,7.918,512,107987.77008620002
34,16.772,64,82133.9547374
34,30.0,6,83609.1851571
34,30.0,9,88283.9705419
34,30.0,12,87553.51359830001
34,50.0,25,2998417.152764
34,250.0,100,27631804.9327178
34,1000.0,400,119546018.43223497
36,4.073,262144,3729686.824226999
36,4.639,32768,858141.3858873
36,5.649,4096,182987.88771779998
36,7.918,512,67915.2892342
36,16.772,64,45956.429022899996
36,30.0,6,49740.7498999
36,30.0,9,49245.671117599995
36,30.0,12,49197.5958486
36,50.0,25,2808830.7274866
36,250.0,100,27423052.294053603
36,1000.0,400,119093020.95514259
38,4.073,262144,2972266.0524224997
38,4.639,32768,868708.4126267001
38,5.649,4096,159631.58051070003
38,7.918,512,49312.3078381
38,16.772,64,33124.3663254
38,30.0,6,34024.2841903
38,30.0,9,33901.66904190001
38,30.0,12,33092.4221538
38,50.0,25,2586219.8602756998
38,250.0,100,27271700.9916159
38,1000.0,400,119759643.89857788
40,4.073,262144,2697281.1564793
40,4.639,32768,743710.4870893
40,5.649,4096,145257.87580550002
40,7.918,512,43347.230335299995
40,16.772,64,25840.598449
40,30.0,6,26138.886904400002
40,30.0,9,25580.8517413
40,30.0,12,26984.344664100005
40,50.0,25,2392362.0471507004
40,250.0,100,27042570.4446295
40,1000.0,400,119077368.21254858
