arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
20,13.0,262144,82501407.60883598
20,15.3,32768,103825660.1568431
20,19.7,4096,143214463.5450897
20,32.3,512,223486772.08733582
20,90.0,18,320555619.7416837
20,90.0,27,305945716.1109904
20,90.0,36,292222720.11028224
20,300.0,150,33922561.4362108
20,1500.0,600,182933568.8122025
20,8000.0,3000,991453152.4573231
22,13.0,262144,78060684.7152402
22,15.3,32768,99645366.5861585
22,19.7,4096,137444336.6326555
22,32.3,512,217285330.41010872
22,90.0,18,314489876.88335145
22,90.0,27,300134635.9771988
22,90.0,36,286580967.0727922
22,300.0,150,33572536.320821
22,1500.0,600,182198554.72886032
22,8000.0,3000,993906789.1143103
24,13.0,262144,74335924.9741871
24,15.3,32768,95423963.84503229
24,19.7,4096,133276299.8344805
24,32.3,512,212768813.23107398
24,90.0,18,308919334.1124202
24,90.0,27,294898209.61443245
24,90.0,36,280865984.52301306
24,300.0,150,33458861.773874003
24,1500.0,600,181622621.13459212
24,8000.0,3000,989961514.76627
26,13.0,262144,69243760.9624198
26,15.3,32768,90528172.139584
26,19.7,4096,128187716.4943515
26,32.3,512,207877675.64087838
26,90.0,18,302578805.6141025
26,90.0,27,288141048.73714936
26,90.0,36,275934074.10401756
26,300.0,150,33207419.942383
26,1500.0,600,182422945.90897802
26,8000.0,3000,991331696.4459206
28,13.0,262144,65069666.797129795
28,15.3,32768,86389603.5436833
28,19.7,4096,124302581.88748431
28,32.3,512,202785854.0805382
28,90.0,18,297228503.35955316
28,90.0,27,282893139.8135426
28,90.0,36,270441991.4871868
28,300.0,150,33227915.950047404
28,1500.0,600,183652434.9023922
28,8000.0,3000,991031638.0066273
30,13.0,262144,61253744.439028405
30,15.3,32768,82658015.6993065
30,19.7,4096,119262802.3593276
30,32.3,512,197956301.1479287
30,90.0,18,291311661.1295772
30,90.0,27,277239278.13878584
30,90.0,36,264875759.6729052
30,300.0,150,32777143.9911538
30,1500.0,600,181666691.9093778
30,8000.0,3000,991306290.6934452
32,13.0,262144,57464851.21579709
32,15.3,32768,78001224.5687344
32,19.7,4096,115544129.3134846
32,32.3,512,191798898.6670823
32,90.0,18,285479088.29556
32,90.0,27,272192861.96345973
32,90.0,36,259632908.4436807
32,300.0,150,32580564.298944198
32,1500.0,600,181737937.8051585
32,8000.0,3000,993914677.4519265
34,13.0,262144,53050509.924531
34,15.3,32768,73523487.44584242
34,19.7,4096,109710945.0636956
34,32.3,512,187750487.2577275
34,90.0,18,280124420.49985206
34,90.0,27,266326147.01607847
34,90.0,36,254104096.0787774
34,300.0,150,32649597.0706693
34,1500.0,600,180708042.0994236
34,8000.0,3000,990570215.5415026
36,13.0,262144,50061760.047093704
36,15.3,32768,70013431.7519669
36,19.7,4096,105686134.89262518
36,32.3,512,182478386.34040332
36,90.0,18,273761964.38639486
36,90.0,27,260399810.14412278
36,90.0,36,248828492.6612495
36,300.0,150,32222153.021879993
36,1500.0,600,180937025.04828498
36,8000.0,3000,987738010.7412058
38,13.0,262144,46415737.5155708
38,15.3,32768,66210550.980364405
38,19.7,4096,101254568.6076092
38,32.3,512,176491324.44743523
38,90.0,18,268027187.4266994
38,90.0,27,255180067.0544203
38,90.0,36,243856884.415383
38,300.0,150,32337417.3558065
38,1500.0,600,181550596.40744102
38,8000.0,3000,988686309.3102335
40,13.0,262144,41883890.7787662
40,15.3,32768,62202236.7310227
40,19.7,4096,97415570.52147219
40,32.3,512,172270630.4456069
40,90.0,18,262283903.86099443
40,90.0,27,249742817.5809477
40,90.0,36,237778703.3311964
40,300.0,150,32010205.738144506
40,1500.0,600,180780209.30477422
40,8000.0,3000,987316651.0736287
