frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,69133.711104,38503.000000,0.000000
4,361205.691327,230353.000000,0.000000
8,169546.190453,109773.000000,0.000000
16,276503.132152,239630.000000,0.000000
32,345441.600789,295254.000000,0.000000
64,361246.986314,270396.000000,0.000000
128,92096.737304,52993.000000,0.000000
256,170375.606810,78398.000000,0.000000
512,96976.818792,71858.000000,0.000000
1024,113086.361998,88021.000000,0.000000
2048,206559.797889,152012.000000,0.000000
4096,376594.807639,267473.000000,0.000000
8192,243570.847277,130735.000000,0.000000
16384,360880.633051,251872.000000,0.000000
32768,610077.135448,254214.000000,0.000000
65536,1062205.104178,373013.000000,0.000000
