frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,121030.535734,97539.000000,0.000000
4,626577.943430,240644.000000,0.000000
8,270933.685986,209721.000000,0.000000
16,174087.732543,106163.000000,0.000000
32,257790.664245,161654.000000,0.000000
64,276532.065510,189549.000000,0.000000
128,114190.521835,86236.000000,0.000000
256,167597.903155,114665.000000,0.000000
512,528739.211964,295392.000000,0.000000
1024,282684.363036,156406.000000,0.000000
2048,533740.019301,251899.000000,0.000000
4096,786568.067427,296879.000000,0.000000
8192,207592.889950,114078.000000,0.000000
16384,311038.578909,192521.000000,0.000000
32768,771814.648800,244758.000000,0.000000
65536,730875.569613,180966.000000,0.000000
