frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,114611.229633,65899.000000,13.928388
4,161347.411321,138374.000000,31.559468
8,64268.932751,38858.000000,40.311289
16,72186.670411,46173.000000,109.544512
32,153013.450876,138223.000000,212.741627
64,235097.604120,136308.000000,137.542721
128,185020.994020,156868.000000,13500.108814
256,144606.034964,87340.000000,5471.895375
512,118103.492319,104707.000000,6235.927758
1024,70743.317642,32728.000000,9355.187652
2048,82180.221666,51322.000000,10628.561850
4096,263649.327393,134346.000000,6277.268355
8192,209530.205486,132919.000000,45390.846522
16384,179920.337255,115114.000000,115272.188216
32768,282132.199477,245606.000000,259916.520285
65536,228043.722130,123786.000000,226515.550490
