frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,213011.138763,103337.000000,0.000000
4,626099.002756,299714.000000,0.000000
8,369152.134569,236236.000000,0.000000
16,270786.629269,166837.000000,0.000000
32,417253.730913,215157.000000,0.000000
64,276222.317525,100196.000000,0.000000
128,524505.099426,292199.000000,0.000000
256,582094.049903,300568.000000,0.000000
512,407017.009544,261253.000000,0.000000
1024,436985.945086,257767.000000,0.000000
2048,829475.406385,222439.000000,0.000000
4096,287889.284479,120355.000000,0.000000
8192,701480.077986,249791.000000,0.000000
16384,313319.660577,69125.000000,0.000000
32768,1456900.868377,235989.000000,0.000000
65536,775650.751259,274518.000000,0.000000
