frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,537064.047664,265589.000000,26.400758
4,178705.689742,68314.000000,37.296112
8,325122.718394,197378.000000,64.791975
16,307488.982318,217767.000000,30.935417
32,482547.677144,264105.000000,102.640148
64,484829.549216,263376.000000,147.922277
128,621195.199963,284195.000000,858.885906
256,319359.849288,261368.000000,2100.234273
512,336481.826074,205688.000000,17725.515705
1024,441874.878050,265750.000000,1690.246432
2048,495489.261232,227895.000000,229375.729403
4096,247087.067689,82629.000000,64628.331605
8192,439754.665115,245047.000000,88057.500674
16384,377598.147387,129291.000000,254853.479458
32768,1354519.501018,192648.000000,1336420.850344
65536,1166695.197039,221580.000000,922782.705106
