frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,151047.180328,94759.000000,0.000000
4,168526.445224,151239.000000,0.000000
8,199689.565616,104307.000000,0.000000
16,188413.255688,111605.000000,0.000000
32,258099.710870,240997.000000,0.000000
64,345441.453474,198822.000000,0.000000
128,304340.932088,169230.000000,0.000000
256,326474.398208,196481.000000,0.000000
512,404311.244290,238510.000000,0.000000
1024,175253.521214,102899.000000,0.000000
2048,1045929.740189,251128.000000,0.000000
4096,423141.315280,187503.000000,0.000000
8192,558315.203505,135396.000000,0.000000
16384,389178.349397,86193.000000,0.000000
32768,995342.292056,224164.000000,0.000000
65536,145347.233035,54917.000000,0.000000
