frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,141772.211202,91020.000000,0.000000
4,125236.161315,70288.000000,0.000000
8,296104.920868,195509.000000,0.000000
16,404807.178670,234836.000000,0.000000
32,347370.981893,174902.000000,0.000000
64,120488.682199,88586.000000,0.000000
128,227712.357205,187970.000000,0.000000
256,149730.249582,53612.000000,0.000000
512,321412.443602,177367.000000,0.000000
1024,209402.891623,196321.000000,0.000000
2048,331555.803115,191526.000000,0.000000
4096,311545.796654,274273.000000,0.000000
8192,245482.988983,53373.000000,0.000000
16384,208622.031013,117538.000000,0.000000
32768,1435981.551326,261678.000000,0.000000
65536,254300.284695,87110.000000,0.000000
