frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,159713.975159,119730.000000,5.000000
4,129860.977653,80209.000000,23.065125
8,46300.962744,24626.000000,18.814888
16,130897.641224,59658.000000,5.000000
32,176386.136527,142656.000000,52870.038632
64,113646.604714,84678.000000,703.037695
128,323747.732075,319674.000000,225.146619
256,194238.841458,97993.000000,999.342784
512,178743.515018,127625.000000,1893.727541
1024,129697.507254,95404.000000,13793.846055
2048,119956.821811,82925.000000,15062.407510
4096,83734.694428,52397.000000,14650.024369
8192,367583.931763,243147.000000,9098.456957
16384,387624.737103,236734.000000,280693.383401
32768,375303.714615,222489.000000,298168.193044
65536,496066.661141,220900.000000,433116.681632
