frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,165239.590223,128032.000000,11.180340
4,175552.255520,140699.000000,1152.935384
8,242637.490683,227865.000000,25.139610
16,143817.285453,101814.000000,255.744013
32,92072.363150,67822.000000,151.205159
64,285251.072804,254396.000000,636.260953
128,277253.934993,230906.000000,4820.230492
256,229948.751706,188478.000000,3050.600105
512,166591.994433,87445.000000,574.938258
1024,242623.976408,215609.000000,873.405977
2048,232549.665063,226126.000000,14112.658573
4096,384150.310015,252632.000000,48090.738963
8192,147051.271416,103233.000000,32340.693824
16384,359318.220237,204892.000000,357605.622299
32768,263470.931038,129494.000000,197047.997523
65536,113821.625340,94255.000000,40002.084908
