frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,92377.561648,44787.000000,259.518785
4,284144.605242,202566.000000,50.705029
8,125657.946462,68396.000000,283.249007
16,203926.451327,124965.000000,53.413481
32,186092.839207,106201.000000,1349.103777
64,97410.494568,40273.000000,704.969503
128,692097.085610,291535.000000,265.503296
256,264054.710748,162424.000000,754.768839
512,126907.270284,62371.000000,18432.325274
1024,535741.669920,258074.000000,31231.817478
2048,216283.933049,98567.000000,72924.793143
4096,179405.940587,137457.000000,10296.589921
8192,635507.506297,172495.000000,254163.917404
16384,122127.633986,63236.000000,88865.906607
32768,1109911.201206,157345.000000,634829.613344
65536,362683.901354,336409.000000,346656.304938
