Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
22,4.073000,262144.000000,266378.124798,170249.000000
22,4.639000,32768.000000,762669.709054,255130.000000
22,5.649000,4096.000000,1572096.267155,271954.000000
22,7.918000,512.000000,2603367.302989,272255.000000
22,16.772000,64.000000,5802861.590196,284650.000000
22,30.000000,6.000000,6518915.637813,267339.000000
22,30.000000,9.000000,6011802.913604,268293.000000
22,30.000000,12.000000,5937452.560847,278897.000000
22,30.000000,15.000000,5623604.383702,283839.000000
22,30.000000,18.000000,5448712.137969,280302.000000
