frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,624502.407015,46114.000000,26534.067837
4,992687.569313,48410.000000,36350.884336
8,683064.040360,41891.000000,200.444506
16,978685.048757,44666.000000,369.297983
32,993649.034678,45659.000000,37765.713551
64,935087.273005,45589.000000,18238.182338
128,1125000.534839,43519.000000,48247.240864
256,995423.378558,43838.000000,115048.971086
512,1754193.053730,147246.000000,104614.604688
1024,1182811.396595,79247.000000,244075.532920
2048,972324.086231,44679.000000,128502.625510
4096,1078951.903274,41724.000000,170369.900214
8192,2002295.505803,229061.000000,1045747.679297
16384,1304294.269952,93310.000000,925621.740871
32768,2557968.627916,183549.000000,2176470.402142
65536,4663326.277910,280473.000000,3436994.869879
