frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,876150.504986,39104.000000,0.000000
4,843513.639452,44238.000000,0.000000
8,911864.711988,41457.000000,0.000000
16,802911.455487,40981.000000,0.000000
32,1274430.230742,100776.000000,0.000000
64,1051382.416944,53566.000000,0.000000
128,1063638.141945,41926.000000,0.000000
256,1741173.532446,156713.000000,0.000000
512,1317600.423395,95192.000000,0.000000
1024,1402375.500999,126038.000000,0.000000
2048,1380874.001443,100537.000000,0.000000
4096,1476702.709179,102744.000000,0.000000
8192,2239648.578904,224242.000000,0.000000
16384,1402919.221164,102773.000000,0.000000
32768,418941.598883,34500.000000,0.000000
65536,1125146.420195,45740.000000,0.000000
