frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,595218.630484,31645.000000,1472.570881
4,685132.669836,34426.000000,21878.089679
8,687390.524774,33604.000000,4367.466543
16,904702.820361,33968.000000,12429.119277
32,881434.535022,34917.000000,23740.954362
64,1084095.315192,44637.000000,28112.400822
128,902259.282369,35396.000000,6026.701917
256,1536839.575465,141513.000000,29723.098156
512,1151375.447079,72223.000000,151794.348297
1024,1127384.467664,69782.000000,78323.992142
2048,1644195.284217,166234.000000,275826.553363
4096,1970245.092022,177662.000000,365040.653439
8192,777179.740786,34923.000000,206331.927011
16384,2166766.448587,196807.000000,1423661.659192
32768,2423449.457856,162707.000000,2041916.772720
65536,927599.593802,30450.000000,476814.025536
