frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,987665.474536,40067.000000,27003.317889
4,561678.567509,38145.000000,18619.018153
8,957424.446271,39542.000000,14928.007201
16,926147.415619,39076.000000,39236.952111
32,921714.596868,37217.000000,27462.785620
64,1029260.550355,42818.000000,28381.363198
128,1269248.671967,89976.000000,95220.492926
256,1139469.404130,40804.000000,136793.840161
512,1254577.939411,88914.000000,122247.168303
1024,1430034.456470,128194.000000,200960.357377
2048,1345116.899851,82088.000000,188552.050477
4096,1030735.078489,55637.000000,449252.340144
8192,2436094.529588,202320.000000,478682.410094
16384,1071334.189659,38729.000000,351774.953345
32768,2140215.492252,168465.000000,1761793.494347
65536,4085143.103857,224223.000000,3966344.004941
