frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,614258.183534,41870.000000,197.266317
4,668328.776836,35353.000000,135.151767
8,922744.326399,41960.000000,25396.534626
16,873097.240715,38165.000000,5798.866700
32,1019028.300172,36412.000000,9348.757297
64,890439.476877,36788.000000,38171.473262
128,902921.469843,35935.000000,92969.924492
256,1388284.972541,124223.000000,152193.579805
512,879414.885128,38618.000000,90125.685656
1024,1606790.429266,178334.000000,225113.528903
2048,1000286.441800,35621.000000,58300.756359
4096,933388.356015,44519.000000,230733.702610
8192,1126521.748501,37220.000000,269229.301193
16384,1986686.122829,127110.000000,1425158.534876
32768,842603.063739,40008.000000,0.000000
65536,3481935.990832,222733.000000,2268325.475263
