frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,13047645.099184,540483.000000,87606.985047
4,13270280.485949,539568.000000,785646.222319
8,13482005.719985,541573.000000,43229.006697
16,13838939.342734,535679.000000,240210.201430
32,14040871.792080,541494.000000,487196.414946
64,13835736.862151,536681.000000,340691.402756
128,14084203.234700,545975.000000,882523.653201
256,13870974.360484,541618.000000,676049.155836
512,14744573.284700,540016.000000,2001399.960183
1024,13419053.350664,545036.000000,1591861.859151
2048,12090136.618623,514553.000000,3288342.769737
4096,13665166.538861,520394.000000,632991.779887
8192,13951713.405363,534942.000000,3477093.993692
16384,12467925.167329,490957.000000,3571557.076299
32768,15878332.219584,507651.000000,10342669.515959
65536,20954022.970502,644032.000000,7232105.583257
