frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,74465126.961578,2291426.000000
4,73430070.021234,2120879.000000
8,73546894.952340,2147703.000000
16,74978673.773797,2164984.000000
32,76273516.370330,2188435.000000
64,76414602.970961,2142047.000000
128,78752061.955578,2282054.000000
256,75658118.002827,2161395.000000
512,77663008.457687,2244505.000000
1024,76200635.736347,2243709.000000
2048,81880099.271618,2405876.000000
4096,70118988.822844,2154379.000000
8192,79820926.263651,2158213.000000
16384,79792930.195882,2268045.000000
32768,58163949.208963,2161868.000000
65536,102858431.121457,2434576.000000
