frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,525238.794689,310828.000000
4,316100.072906,205810.000000
8,20285629.380275,828329.000000
16,10657718.237813,586915.000000
32,10266224.068396,584848.000000
64,20363535.409471,788784.000000
128,263386.791119,205264.000000
256,9653511.456694,565798.000000
512,21549658.412185,854842.000000
1024,11755650.835668,532221.000000
2048,9983785.485187,505531.000000
4096,20021046.723603,802118.000000
8192,1053286.653729,304572.000000
16384,829649.727825,206015.000000
32768,15627786.035999,498474.000000
65536,12755917.014727,914463.000000
