frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
4096,184717.699482,72060.000000,227346.992685,63595.000000,212525.280654,63595.000000,184818.161721,72060.000000,184717.699482,72060.000000,184717.699482,72060.000000
16,148038.926232,78402.000000,148038.926232,78402.000000,148050.229868,78402.000000,148038.926232,78402.000000,148038.926232,78402.000000,148038.926232,78402.000000
2,145177.556616,85430.000000,145177.556616,85430.000000,145177.556616,85430.000000,145177.556616,85430.000000,145177.556616,85430.000000,145177.556616,85430.000000
128,183778.028997,65991.000000,187744.822347,65991.000000,187744.822347,65991.000000,183778.028997,65991.000000,183778.028997,65991.000000,183778.028997,65991.000000
32768,272721.366581,63920.000000,244437.672381,49120.000000,246093.607936,49120.000000,256758.776972,49120.000000,273082.740806,51509.000000,273486.678109,63920.000000
1024,300321.752913,173247.000000,275451.393282,112060.000000,270269.386683,112060.000000,300062.495207,173247.000000,300321.752913,173247.000000,300321.752913,173247.000000
64,289383.397585,154706.000000,295567.331157,154706.000000,308724.320513,135274.000000,289383.397585,154706.000000,289383.397585,154706.000000,289383.397585,154706.000000
32,142128.998997,71881.000000,142128.998997,71881.000000,142132.111551,71881.000000,448096.422116,66484.000000,142128.998997,71881.000000,142128.998997,71881.000000
4,94284.884701,34625.000000,94284.884701,34625.000000,94284.884701,34625.000000,94284.884701,34625.000000,94284.884701,34625.000000,94284.884701,34625.000000
512,421408.416878,166566.000000,439307.218394,139638.000000,421408.416878,166566.000000,421408.416878,166566.000000,421408.416878,166566.000000,421408.416878,166566.000000
65536,950152.508528,61792.000000,993291.965047,32131.000000,993291.965047,32131.000000,993291.965047,32131.000000,993291.965047,32131.000000,949721.258890,61482.000000
8192,555061.439039,195572.000000,953732.446596,120949.000000,787942.095911,130173.000000,681257.382303,192444.000000,545728.465024,195572.000000,555061.439039,195572.000000
2048,477538.786992,188668.000000,478254.000163,188668.000000,477538.786992,188668.000000,477538.786992,188668.000000,477538.786992,188668.000000,477538.786992,188668.000000
8,343073.593751,140069.000000,384896.269197,140069.000000,343073.593751,140069.000000,343073.593751,140069.000000,343073.593751,140069.000000,343073.593751,140069.000000
256,358264.438905,231188.000000,843992.366300,166487.000000,358264.438905,231188.000000,358264.438905,231188.000000,358264.438905,231188.000000,358264.438905,231188.000000
16384,358442.086776,199723.000000,932792.870692,148224.000000,846235.878830,148224.000000,927190.833484,178841.000000,927190.833484,178841.000000,358442.086776,199723.000000
