frequency,Dynamic_BAL_njobs25_mode0_L2_norm_flow_time,Dynamic_BAL_njobs25_mode0_maximum_flow_time,Dynamic_BAL_njobs25_mode1_L2_norm_flow_time,Dynamic_BAL_njobs25_mode1_maximum_flow_time,Dynamic_BAL_njobs25_mode2_L2_norm_flow_time,Dynamic_BAL_njobs25_mode2_maximum_flow_time,Dynamic_BAL_njobs25_mode4_L2_norm_flow_time,Dynamic_BAL_njobs25_mode4_maximum_flow_time,Dynamic_BAL_njobs25_mode8_L2_norm_flow_time,Dynamic_BAL_njobs25_mode8_maximum_flow_time,Dynamic_BAL_njobs25_mode16_L2_norm_flow_time,Dynamic_BAL_njobs25_mode16_maximum_flow_time
512,74964.228163,59343.000000,150556.636562,36225.000000,127500.514748,40234.000000,74972.569811,59343.000000,74964.228163,59343.000000,74964.228163,59343.000000
32,110370.548649,64911.000000,141169.815761,50377.000000,110591.157486,64911.000000,110370.548649,64911.000000,110370.548649,64911.000000,110370.548649,64911.000000
1024,142929.321736,91807.000000,184077.556128,35908.000000,165783.720914,54067.000000,153577.694640,68952.000000,142929.321736,91807.000000,142929.321736,91807.000000
256,83913.928361,55177.000000,234190.921323,29046.000000,231403.737230,36759.000000,200149.404985,43236.000000,83913.928361,55177.000000,83913.928361,55177.000000
16,85919.515996,41184.000000,121686.503886,22799.000000,95181.541357,33215.000000,85919.515996,41184.000000,85919.515996,41184.000000,85919.515996,41184.000000
8,151833.001973,112513.000000,267574.433173,36715.000000,173302.938123,84323.000000,151833.001973,112513.000000,151833.001973,112513.000000,151833.001973,112513.000000
64,220515.254350,131993.000000,328666.611844,53422.000000,297156.979080,74271.000000,220515.254350,131993.000000,220515.254350,131993.000000,220515.254350,131993.000000
65536,334033.970331,139890.000000,460448.113815,68102.000000,376864.440521,99523.000000,396640.445117,139890.000000,334033.970331,139890.000000,334033.970331,139890.000000
4,198060.036618,167385.000000,700860.231617,68492.000000,525076.302165,94980.000000,200526.626628,167385.000000,198060.036618,167385.000000,198060.036618,167385.000000
16384,253809.982284,160151.000000,376781.983417,53524.000000,328037.243030,88399.000000,253809.982284,160151.000000,253809.982284,160151.000000,253809.982284,160151.000000
8192,204327.161988,172063.000000,462004.759328,64772.000000,413936.869967,88538.000000,204327.161988,172063.000000,204327.161988,172063.000000,204327.161988,172063.000000
128,331906.366221,288934.000000,8624425.692102,258909.000000,7685554.104250,247033.000000,331906.366221,288934.000000,331906.366221,288934.000000,331906.366221,288934.000000
4096,372094.000800,266705.000000,562927.233358,88792.000000,477955.804871,131736.000000,372094.000800,266705.000000,372094.000800,266705.000000,372094.000800,266705.000000
32768,450028.632568,266725.000000,1030965.903169,186370.000000,578103.547845,203819.000000,450028.632568,266725.000000,450028.632568,266725.000000,450028.632568,266725.000000
2,294027.206568,186738.000000,778952.795632,73089.000000,558338.964481,133522.000000,294027.206568,186738.000000,294027.206568,186738.000000,294027.206568,186738.000000
2048,450211.960198,346157.000000,2545961.584399,235187.000000,2330435.818890,236661.000000,450211.960198,346157.000000,450211.960198,346157.000000,450211.960198,346157.000000
