frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
65536,289798.915907,289798.915907,289798.915907,289798.915907,289798.915907,289798.915907
64,177301.687595,177301.687595,177301.687595,177301.687595,177301.687595,177301.687595
2,185646.047491,185646.047491,185646.047491,185646.047491,185646.047491,185646.047491
32768,213375.194660,213375.194660,213375.194660,213375.194660,213375.194660,213375.194660
1024,447231.082385,447231.082385,447231.082385,447231.082385,447231.082385,447231.082385
8192,228004.380787,228004.380787,228004.380787,228004.380787,228004.380787,228004.380787
8,286200.162657,286200.162657,286200.162657,286200.162657,286200.162657,286200.162657
32,293337.983937,293337.983937,293337.983937,293337.983937,293337.983937,293337.983937
256,295674.959197,296067.024660,296067.024660,296067.024660,296067.024660,296067.024660
512,366642.581715,356370.633333,356370.633333,356370.633333,356370.633333,356370.633333
4096,495432.223268,510073.115433,510073.115433,510073.115433,510073.115433,510073.115433
16384,710362.961738,710362.961738,710362.961738,710362.961738,710362.961738,710362.961738
2048,616206.297431,616206.297431,616206.297431,616206.297431,616206.297431,616206.297431
16,528829.415389,533787.828493,533787.828493,533787.828493,533787.828493,533787.828493
128,523365.192443,523365.192443,523365.192443,523365.192443,523365.192443,523365.192443
4,543767.767025,543767.767025,543767.767025,543767.767025,543767.767025,543767.767025
