frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
2,98024.630471,98024.630471,98024.630471,98024.630471,98024.630471,98024.630471
4096,375889.086448,375889.086448,375889.086448,375889.086448,375889.086448,375889.086448
16,169319.335325,169319.335325,169319.335325,169319.335325,169319.335325,169319.335325
512,201558.770968,201558.770968,201558.770968,201558.770968,201558.770968,201558.770968
16384,430085.854020,430085.854020,430085.854020,430085.854020,430085.854020,430085.854020
65536,571717.523354,571717.523354,571717.523354,571717.523354,571717.523354,571717.523354
256,466250.428250,466250.428250,466250.428250,466250.428250,466250.428250,466250.428250
4,274531.084684,258363.217258,280143.649264,280143.649264,280143.649264,280143.649264
8,426447.800912,426897.399064,426897.399064,426897.399064,426447.800912,426897.399064
1024,576895.471400,567815.002849,567815.002849,567815.002849,567815.002849,567815.002849
64,584867.607121,601040.940130,601040.940130,601040.940130,601040.940130,601040.940130
128,528753.464224,543165.896886,543165.896886,543165.896886,543165.896886,543165.896886
32,632111.074801,632111.074801,632111.074801,632111.074801,632111.074801,632111.074801
2048,847081.081161,847081.081161,847081.081161,847081.081161,847081.081161,847081.081161
8192,624086.270584,624086.270584,624086.270584,624086.270584,624086.270584,624086.270584
32768,752246.558678,744043.015876,744043.015876,744043.015876,744043.015876,744043.015876
