frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
32,225270.060636,18842.000000,208194.002073,35245.000000,217046.176709,33070.000000,228464.700683,51009.000000,236926.553459,85364.000000,223523.156615,26456.000000
16,289067.226760,52593.000000,275735.095652,69367.000000,303170.465844,100953.000000,278831.799331,49652.000000,291484.641786,97581.000000,293022.755149,81238.000000
8,497569.194738,74624.000000,464076.647235,72793.000000,458224.476883,72793.000000,449163.645187,54301.000000,464839.452483,74624.000000,473925.417542,74624.000000
4,549158.435210,37995.000000,498161.361589,89066.000000,500413.737778,98648.000000,544235.867253,139717.000000,499067.989268,59949.000000,513193.456155,68126.000000
65536,1011718.791395,53524.000000,1041498.815505,29196.000000,1041564.432737,29196.000000,1041774.941744,29196.000000,1041797.715681,29196.000000,1011868.311458,53524.000000
64,686486.940815,66159.000000,606109.554310,75895.000000,617229.843561,73923.000000,613280.337515,100432.000000,625942.074756,97947.000000,659508.351063,66159.000000
256,718208.083361,118888.000000,666803.038800,48088.000000,661148.329128,107469.000000,695419.208392,160230.000000,707181.774769,173655.000000,713129.761332,103840.000000
2,879069.358893,134709.000000,803260.927347,144264.000000,786096.462808,136122.000000,795322.018817,144264.000000,803321.357277,122896.000000,846353.566710,119207.000000
4096,844689.504329,66539.000000,793216.506463,58327.000000,790686.913458,73250.000000,811653.553327,124952.000000,827748.134976,99719.000000,829901.952299,150311.000000
128,1004816.743842,236311.000000,916959.257256,54288.000000,922853.967869,133946.000000,961361.484314,173534.000000,941363.140717,164680.000000,958073.620910,194440.000000
512,1051466.706003,220630.000000,1054467.961876,51182.000000,1020173.954980,63723.000000,1012024.921452,89264.000000,997113.334455,100038.000000,1002124.964230,157934.000000
1024,1115610.827571,208868.000000,1118053.613106,57775.000000,1094616.786242,57775.000000,1088015.623709,82483.000000,1090573.621282,99194.000000,1098989.998684,108752.000000
2048,1313750.996926,208450.000000,1421962.130670,56281.000000,1388831.442538,65236.000000,1338610.592281,122677.000000,1345319.427051,134307.000000,1313750.996926,208450.000000
32768,1482306.455679,235157.000000,1430600.401034,183378.000000,1449278.020455,202272.000000,1449278.020455,202272.000000,1455582.135326,202272.000000,1449409.555109,219559.000000
16384,1980311.775159,261132.000000,2510404.935981,124747.000000,2492089.233861,124747.000000,2467064.672765,137759.000000,2534955.117739,191583.000000,1980311.775159,261132.000000
8192,2236281.519845,299226.000000,2802662.892930,91976.000000,2877001.586241,71654.000000,2863301.056336,106374.000000,2823320.328669,121363.000000,2496292.279891,216703.000000
