frequency,Dynamic_BAL_njobs50_mode0_L2_norm_flow_time,Dynamic_BAL_njobs50_mode1_L2_norm_flow_time,Dynamic_BAL_njobs50_mode2_L2_norm_flow_time,Dynamic_BAL_njobs50_mode4_L2_norm_flow_time,Dynamic_BAL_njobs50_mode8_L2_norm_flow_time,Dynamic_BAL_njobs50_mode16_L2_norm_flow_time,Dynamic_BAL_njobs50_mode0_maximum_flow_time,Dynamic_BAL_njobs50_mode1_maximum_flow_time,Dynamic_BAL_njobs50_mode2_maximum_flow_time,Dynamic_BAL_njobs50_mode4_maximum_flow_time,Dynamic_BAL_njobs50_mode8_maximum_flow_time,Dynamic_BAL_njobs50_mode16_maximum_flow_time
4,145360.067962,152604.977406,146017.789779,145360.067962,145360.067962,145360.067962,111272.000000,78056.000000,110353.000000,111272.000000,111272.000000,111272.000000
8,330412.998046,306237.445214,330412.998046,330412.998046,330412.998046,330412.998046,172787.000000,112548.000000,172787.000000,172787.000000,172787.000000,172787.000000
16,180481.235820,289905.422669,194997.352192,180481.235820,180481.235820,180481.235820,146611.000000,87821.000000,136010.000000,146611.000000,146611.000000,146611.000000
2,232683.089487,276374.679052,281656.795595,232683.089487,232683.089487,232683.089487,165166.000000,93346.000000,93346.000000,165166.000000,165166.000000,165166.000000
4096,203186.388631,201114.727549,200076.546189,203186.388631,203186.388631,203186.388631,77260.000000,69741.000000,69741.000000,77260.000000,77260.000000,77260.000000
512,187706.423801,287886.194603,187781.840648,187706.423801,187706.423801,187706.423801,101389.000000,71344.000000,101389.000000,101389.000000,101389.000000,101389.000000
32,323033.393087,312959.096677,323033.393087,323033.393087,323033.393087,323033.393087,217836.000000,119489.000000,217836.000000,217836.000000,217836.000000,217836.000000
32768,205443.310721,356486.633413,223727.548838,205443.310721,205443.310721,205443.310721,106784.000000,95043.000000,106784.000000,106784.000000,106784.000000,106784.000000
16384,252478.398270,1188205.513769,271980.687686,252478.398270,252478.398270,252478.398270,160487.000000,138829.000000,160487.000000,160487.000000,160487.000000,160487.000000
2048,338915.523864,562281.412510,338915.523864,338915.523864,338915.523864,338915.523864,196617.000000,131027.000000,196617.000000,196617.000000,196617.000000,196617.000000
256,233627.806710,505834.006605,233627.806710,233627.806710,233627.806710,233627.806710,164792.000000,126851.000000,164792.000000,164792.000000,164792.000000,164792.000000
128,225599.354097,336791.625895,225827.262302,225599.354097,225599.354097,225599.354097,204207.000000,110066.000000,204207.000000,204207.000000,204207.000000,204207.000000
65536,426080.469576,422762.808186,423278.968372,426080.469576,426080.469576,426080.469576,230170.000000,137097.000000,223118.000000,230170.000000,230170.000000,230170.000000
1024,487994.711505,514115.255912,513416.898591,487994.711505,487994.711505,487994.711505,273474.000000,273474.000000,273474.000000,273474.000000,273474.000000,273474.000000
64,371036.224426,6864460.355282,371036.224426,371036.224426,371036.224426,371036.224426,307446.000000,253761.000000,307446.000000,307446.000000,307446.000000,307446.000000
8192,335564.843041,2151719.911128,335564.843041,335564.843041,335564.843041,335564.843041,309495.000000,274158.000000,309495.000000,309495.000000,309495.000000,309495.000000
