frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time
2,146841.945302,119939.640274,119425.352258,119575.429316,119575.429316,119420.376741,31767.000000,74445.000000,74445.000000,74445.000000,74445.000000,74445.000000
16,211550.392231,208893.855798,213113.187647,213113.187647,213113.187647,213113.187647,81944.000000,81944.000000,89942.000000,89942.000000,89942.000000,89942.000000
4096,251495.007026,240902.876560,236581.304445,236185.345691,236608.148387,237743.549406,47548.000000,47548.000000,47548.000000,47414.000000,80247.000000,80247.000000
32,281904.410125,251788.395386,233723.451297,219316.115327,219316.115327,219316.115327,96519.000000,106579.000000,156499.000000,189319.000000,189319.000000,189319.000000
2048,802853.551783,798671.877405,799477.249318,795874.565765,747270.733995,756126.064717,67751.000000,67751.000000,67751.000000,78299.000000,141401.000000,174181.000000
512,481273.966479,299217.981557,285082.983349,285082.983349,285082.983349,285082.983349,88892.000000,140972.000000,140972.000000,140972.000000,140972.000000,140972.000000
128,761496.657577,297963.473753,305307.367170,305307.367170,305307.367170,305306.438668,96458.000000,144610.000000,189614.000000,189614.000000,189614.000000,189614.000000
1024,539803.445552,503477.090560,475885.929760,454806.793748,451399.615560,451269.439412,91202.000000,91202.000000,114694.000000,172713.000000,198353.000000,198353.000000
64,439029.179025,310977.338105,299153.983211,278119.938286,278119.938286,278119.938286,66086.000000,124741.000000,124741.000000,243204.000000,243204.000000,243204.000000
32768,990555.724231,989669.769133,988445.370242,986433.403656,983588.401189,1011865.643215,179809.000000,179809.000000,179809.000000,170217.000000,170217.000000,262930.000000
8192,1651319.343815,1633961.859442,1772191.155699,1719091.430509,900223.402135,624559.023878,94988.000000,94988.000000,106527.000000,106527.000000,168893.000000,188321.000000
256,691145.569955,637606.185309,632207.014696,617847.617604,508515.993916,492673.817173,142277.000000,158398.000000,238514.000000,238514.000000,288961.000000,288961.000000
4,351294.874166,343187.803704,343187.803704,343187.803704,343187.803704,343187.803704,206834.000000,206834.000000,206834.000000,206834.000000,206834.000000,206834.000000
8,837215.064062,698487.250529,509780.083276,509780.083276,509780.083276,509780.083276,121745.000000,178708.000000,280713.000000,280713.000000,280713.000000,280713.000000
16384,768619.531545,769320.253059,657905.486643,661256.509504,657041.336108,542509.457670,211734.000000,213660.000000,215543.000000,215543.000000,217444.000000,268396.000000
65536,1938966.179508,1946572.181868,1945079.618430,1938101.544619,1936201.836133,1650173.017035,182649.000000,195213.000000,197326.000000,205537.000000,207547.000000,283808.000000
