frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
128,481839.345989,452256.495417,455479.252996,455479.252996,481839.345989,481839.345989,266341.000000,94700.000000,136460.000000,136460.000000,266341.000000,266341.000000
2,284573.820135,284574.361122,284576.993185,284573.820135,284573.820135,284573.820135,173456.000000,173456.000000,173456.000000,173456.000000,173456.000000,173456.000000
16,433724.782253,495532.254131,433724.782253,433724.782253,433724.782253,433724.782253,200559.000000,167376.000000,200559.000000,200559.000000,200559.000000,200559.000000
8,425908.972593,425918.011758,425908.972593,425908.972593,425908.972593,425908.972593,150882.000000,150882.000000,150882.000000,150882.000000,150882.000000,150882.000000
512,487496.442683,527697.718056,499204.319287,527963.939812,487496.442683,487496.442683,258623.000000,100945.000000,146696.000000,127575.000000,258623.000000,258623.000000
32,437369.776631,398280.410361,398280.410361,437369.776631,437369.776631,437369.776631,160811.000000,117739.000000,117739.000000,160811.000000,160811.000000,160811.000000
4096,470769.394865,445065.796037,438791.814059,448542.754959,450068.214162,437297.164113,197555.000000,60075.000000,89402.000000,89402.000000,89402.000000,114917.000000
1024,635814.064185,672928.744968,622030.209123,635814.064185,635814.064185,635814.064185,245473.000000,100913.000000,144214.000000,245473.000000,245473.000000,245473.000000
256,510761.641915,526134.303458,606464.891722,582735.566809,510761.641915,510761.641915,273590.000000,164274.000000,183114.000000,183114.000000,273590.000000,273590.000000
4,418022.537774,409765.890323,418022.537774,418022.537774,418022.537774,418022.537774,188732.000000,108618.000000,188732.000000,188732.000000,188732.000000,188732.000000
2048,595391.732788,825702.054944,777900.357220,598193.029695,598944.655950,595391.732788,225132.000000,122632.000000,133661.000000,225132.000000,225132.000000,225132.000000
16384,633625.338715,1045156.402151,1086504.593152,966027.617337,953437.427350,953437.427350,213146.000000,102438.000000,86687.000000,114147.000000,142333.000000,142333.000000
65536,688673.175213,698859.885650,688673.175213,688673.175213,688673.175213,688673.175213,244858.000000,233374.000000,244858.000000,244858.000000,244858.000000,244858.000000
64,983636.258620,1194481.560844,983636.258620,983636.258620,983636.258620,983636.258620,298992.000000,245936.000000,298992.000000,298992.000000,298992.000000,298992.000000
8192,763961.571914,1054626.114543,1047208.941650,1006877.406488,944560.128843,872759.530669,255980.000000,67465.000000,73768.000000,84698.000000,96419.000000,143429.000000
32768,926941.995540,1200406.524706,1101114.710348,991307.940111,926941.995540,926941.995540,205092.000000,128174.000000,128174.000000,151958.000000,205092.000000,205092.000000
