frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time
4,70720.475769,70720.475769,70720.475769,70720.475769,70720.475769,70720.475769,21461.000000,21461.000000,21461.000000,21461.000000,21461.000000,21461.000000
256,94916.152772,94916.152772,94916.152772,94916.152772,94916.152772,94916.152772,37969.000000,37969.000000,37969.000000,37969.000000,37969.000000,37969.000000
16,108587.932861,108080.168842,108080.168842,108080.168842,108080.168842,108080.168842,54932.000000,54932.000000,54932.000000,54932.000000,54932.000000,54932.000000
512,171263.992258,171259.185070,171259.185070,171259.185070,171263.992258,171259.185070,115498.000000,115498.000000,115498.000000,115498.000000,115498.000000,115498.000000
64,242349.959495,242349.959495,242349.959495,242349.959495,242349.959495,242349.959495,208597.000000,208597.000000,208597.000000,208597.000000,208597.000000,208597.000000
2,208330.178318,208330.178318,208330.178318,208330.178318,208330.178318,208330.178318,158080.000000,158080.000000,158080.000000,158080.000000,158080.000000,158080.000000
2048,272408.281869,220121.489119,220121.489119,220121.489119,220121.489119,220121.489119,118331.000000,118331.000000,118331.000000,118331.000000,118331.000000,118331.000000
8192,189451.576064,189451.576064,189451.576064,189451.576064,189451.576064,189451.576064,89793.000000,89793.000000,89793.000000,89793.000000,89793.000000,89793.000000
4096,170599.496778,170599.496778,170599.496778,170599.496778,170599.496778,170599.496778,136513.000000,136513.000000,136513.000000,136513.000000,136513.000000,136513.000000
65536,431565.181470,431565.145658,431565.145658,431565.181470,431565.181470,431565.145658,128498.000000,128498.000000,128498.000000,128498.000000,128498.000000,128498.000000
32,222911.678691,222911.678691,222911.678691,222911.678691,222911.678691,222911.678691,188102.000000,188102.000000,188102.000000,188102.000000,188102.000000,188102.000000
32768,569016.519207,569016.519207,569016.519207,569016.519207,569016.519207,569016.519207,243618.000000,243618.000000,243618.000000,243618.000000,243618.000000,243618.000000
1024,419393.113221,419226.676228,419226.676228,419226.676228,419393.113221,419226.676228,250599.000000,250599.000000,250599.000000,250599.000000,250599.000000,250599.000000
8,311161.582495,311161.582495,311161.582495,311161.582495,311161.582495,311161.582495,229645.000000,229645.000000,229645.000000,229645.000000,229645.000000,229645.000000
128,402383.270787,402383.270787,402383.270787,402383.270787,402383.270787,402383.270787,248881.000000,248881.000000,248881.000000,248881.000000,248881.000000,248881.000000
16384,584930.718350,584930.718350,584930.718350,584930.718350,584930.718350,584930.718350,260191.000000,260191.000000,260191.000000,260191.000000,260191.000000,260191.000000
