frequency,Dynamic_BAL_njobs50_mode0_L2_norm_flow_time,Dynamic_BAL_njobs50_mode1_L2_norm_flow_time,Dynamic_BAL_njobs50_mode2_L2_norm_flow_time,Dynamic_BAL_njobs50_mode4_L2_norm_flow_time,Dynamic_BAL_njobs50_mode8_L2_norm_flow_time,Dynamic_BAL_njobs50_mode16_L2_norm_flow_time,Dynamic_BAL_njobs50_mode0_maximum_flow_time,Dynamic_BAL_njobs50_mode1_maximum_flow_time,Dynamic_BAL_njobs50_mode2_maximum_flow_time,Dynamic_BAL_njobs50_mode4_maximum_flow_time,Dynamic_BAL_njobs50_mode8_maximum_flow_time,Dynamic_BAL_njobs50_mode16_maximum_flow_time
512,143535.036374,548026.929995,144648.309420,143535.036374,143535.036374,143535.036374,99649.000000,87710.000000,99649.000000,99649.000000,99649.000000,99649.000000
2,148286.322316,230279.003785,147029.100375,148286.322316,148286.322316,148286.322316,75808.000000,61269.000000,75808.000000,75808.000000,75808.000000,75808.000000
4,150272.782389,151966.183778,150501.353652,150438.608435,150272.782389,150272.782389,106278.000000,106278.000000,106278.000000,106278.000000,106278.000000,106278.000000
256,199713.315470,204528.732033,200009.059357,199713.315470,199713.315470,199713.315470,111627.000000,111627.000000,111627.000000,111627.000000,111627.000000,111627.000000
16384,94977.530427,109908.577804,94977.530427,94977.530427,94977.530427,94977.530427,44865.000000,34798.000000,44865.000000,44865.000000,44865.000000,44865.000000
1024,201688.887909,683785.840452,201688.887909,201688.887909,201688.887909,201688.887909,137177.000000,101659.000000,137177.000000,137177.000000,137177.000000,137177.000000
32768,289249.006987,289112.810147,289249.006987,289249.006987,289249.006987,289249.006987,200979.000000,200979.000000,200979.000000,200979.000000,200979.000000,200979.000000
128,209999.219758,237887.208172,212707.957033,209999.219758,209999.219758,209999.219758,165269.000000,153485.000000,165269.000000,165269.000000,165269.000000,165269.000000
65536,282585.928692,279045.716808,282595.363311,282585.928692,282585.928692,282585.928692,147154.000000,147154.000000,147154.000000,147154.000000,147154.000000,147154.000000
32,274346.455589,256587.058865,274346.455589,274346.455589,274346.455589,274346.455589,225928.000000,188169.000000,225928.000000,225928.000000,225928.000000,225928.000000
8192,277541.483670,353099.249625,277541.483670,277541.483670,277541.483670,277541.483670,177687.000000,175459.000000,177687.000000,177687.000000,177687.000000,177687.000000
8,178378.086502,227265.328583,178378.086502,178378.086502,178378.086502,178378.086502,87345.000000,87345.000000,87345.000000,87345.000000,87345.000000,87345.000000
2048,295674.609443,283491.091110,295674.609443,295674.609443,295674.609443,295674.609443,177052.000000,146377.000000,177052.000000,177052.000000,177052.000000,177052.000000
4096,331200.698754,344660.666550,331200.698754,331200.698754,331200.698754,331200.698754,152634.000000,119183.000000,152634.000000,152634.000000,152634.000000,152634.000000
16,370644.874385,692909.831269,344762.918841,370644.874385,370644.874385,370644.874385,258718.000000,168453.000000,169854.000000,258718.000000,258718.000000,258718.000000
64,373309.166063,435865.856995,366379.133820,373309.166063,373309.166063,373309.166063,216642.000000,190813.000000,198716.000000,216642.000000,216642.000000,216642.000000
