frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time
1024,131872.469981,99252.798666,92998.975795,93830.095145,92999.198002,92999.198002,21348.000000,44817.000000,45972.000000,45972.000000,45972.000000,45972.000000
128,528405.454572,305513.441379,305499.788602,305499.788602,305499.788602,305499.788602,181342.000000,258180.000000,258180.000000,258180.000000,258180.000000,258180.000000
16384,674812.745272,670930.890355,644299.119671,636478.223822,579798.436611,485529.497523,51263.000000,51263.000000,51790.000000,51790.000000,90451.000000,141819.000000
16,229077.511581,209800.282931,185595.694115,185595.694115,185595.694115,185555.166328,93543.000000,95655.000000,104867.000000,104867.000000,104867.000000,104867.000000
2048,219902.843858,197295.039127,159334.364915,153337.186338,162983.714064,159465.337625,41000.000000,41000.000000,56182.000000,56182.000000,56182.000000,56182.000000
256,468175.053897,455511.018243,251441.480476,251441.480476,251278.600708,251441.480476,178751.000000,178751.000000,205988.000000,205988.000000,205988.000000,205988.000000
2,560414.702209,310106.419819,310106.419819,310106.419819,310106.419819,310106.419819,123098.000000,177924.000000,177924.000000,177924.000000,177924.000000,177924.000000
32768,688486.671220,621010.432517,619603.999610,622467.148419,670671.941004,563585.242866,119782.000000,190164.000000,192544.000000,194970.000000,194970.000000,241500.000000
32,104080.478660,103583.234126,103429.715459,103225.547158,103582.024068,103225.547158,48811.000000,48811.000000,48811.000000,48811.000000,48811.000000,48811.000000
4096,488214.404706,467979.754228,399197.763689,358865.355479,352390.005700,352390.005700,130172.000000,132262.000000,158159.000000,193468.000000,203189.000000,203189.000000
4,120195.788088,115140.242761,115140.242761,115140.242761,115140.242761,115140.242761,66746.000000,75728.000000,75728.000000,75728.000000,75728.000000,75728.000000
512,3403381.411826,355916.224078,351478.893395,351478.893395,351478.893395,351478.893395,175010.000000,219632.000000,219632.000000,219632.000000,219632.000000,219632.000000
64,507050.399712,507050.399712,507050.399712,507050.399712,507050.399712,507050.399712,306580.000000,306580.000000,306580.000000,306580.000000,306580.000000,306580.000000
65536,2053362.353265,1984858.103585,1867032.830042,1563200.017745,724846.775627,416750.129880,183869.000000,187524.000000,195529.000000,210912.000000,241752.000000,300926.000000
8192,532208.975795,505948.013246,469154.429649,358662.035538,303774.463956,425666.671161,60941.000000,64064.000000,81998.000000,95069.000000,118262.000000,118262.000000
8,271335.666360,394289.849232,271335.666360,271335.666360,271335.666360,271335.666360,239679.000000,231770.000000,239679.000000,239679.000000,239679.000000,239679.000000
