frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
1024,396078.393331,1065259.151565,647224.512679,396078.393331,396078.393331,396078.393331,259889.000000,174301.000000,180055.000000,259889.000000,259889.000000,259889.000000
128,201425.706428,231685.040527,202040.338396,201425.706428,201425.706428,201425.706428,128693.000000,90056.000000,128693.000000,128693.000000,128693.000000,128693.000000
16384,199088.659022,199088.659022,199088.659022,199088.659022,199088.659022,199088.659022,58290.000000,58290.000000,58290.000000,58290.000000,58290.000000,58290.000000
16,180219.064915,180219.064915,180219.064915,180219.064915,180219.064915,180219.064915,104695.000000,104695.000000,104695.000000,104695.000000,104695.000000,104695.000000
2048,598526.528243,899001.294692,819597.561234,694670.047350,598526.528243,598526.528243,310929.000000,89464.000000,153638.000000,196937.000000,310929.000000,310929.000000
256,267954.518228,404690.325248,377037.610330,267954.518228,267954.518228,267954.518228,156580.000000,83819.000000,119074.000000,156580.000000,156580.000000,156580.000000
2,188471.399634,188471.399634,188471.399634,188471.399634,188471.399634,188471.399634,89684.000000,89684.000000,89684.000000,89684.000000,89684.000000,89684.000000
32768,977284.682118,977284.682118,977284.682118,977284.682118,977284.682118,977284.682118,201368.000000,201368.000000,201368.000000,201368.000000,201368.000000,201368.000000
32,162163.146343,162188.586954,162163.146343,162163.146343,162163.146343,162163.146343,77969.000000,77969.000000,77969.000000,77969.000000,77969.000000,77969.000000
4096,141150.758379,164112.296352,141150.758379,141150.758379,141150.758379,141150.758379,94974.000000,53060.000000,94974.000000,94974.000000,94974.000000,94974.000000
4,140081.564779,140081.564779,140081.564779,140081.564779,140081.564779,140081.564779,67626.000000,67626.000000,67626.000000,67626.000000,67626.000000,67626.000000
512,214517.673162,215486.582886,214517.673162,214517.673162,214517.673162,214517.673162,93211.000000,93211.000000,93211.000000,93211.000000,93211.000000,93211.000000
64,439139.315236,427287.810912,439139.315236,439139.315236,439139.315236,439139.315236,274714.000000,250314.000000,274714.000000,274714.000000,274714.000000,274714.000000
65536,1132565.973121,1132565.973121,1132565.973121,1132565.973121,1132565.973121,1132565.973121,250419.000000,250419.000000,250419.000000,250419.000000,250419.000000,250419.000000
8192,380905.825058,855760.952037,829772.026169,789585.471496,380905.825058,380905.825058,139726.000000,94362.000000,114806.000000,133108.000000,139726.000000,139726.000000
8,85503.808523,85503.808523,85503.808523,85503.808523,85503.808523,85503.808523,30711.000000,30711.000000,30711.000000,30711.000000,30711.000000,30711.000000
