Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
20,4.639000,32768.000000,878829.923487,299358.000000,878829.923487,299358.000000,878829.923487,299358.000000,878829.923487,299358.000000,878829.923487,299358.000000,878829.923487,299358.000000
20,4.073000,262144.000000,527174.420905,210069.000000,527174.420905,210069.000000,527174.420905,210069.000000,527174.420905,210069.000000,527174.420905,210069.000000,527174.420905,210069.000000
20,5.649000,4096.000000,1608728.560687,278154.000000,1608728.560687,278154.000000,1608728.560687,278154.000000,1608728.560687,278154.000000,1608728.560687,278154.000000,1608728.560687,278154.000000
20,30.000000,9.000000,6023139.497229,104104.000000,6023139.497229,104104.000000,6023139.497229,104104.000000,6023139.497229,104104.000000,6023139.497229,104104.000000,6023139.497229,104104.000000
20,30.000000,15.000000,6017813.465372,106926.000000,6064786.248862,106926.000000,6064786.248862,106926.000000,6049338.129726,235877.000000,6483606.568393,268757.000000,6017813.465372,106926.000000
20,7.918000,512.000000,2962944.823612,269584.000000,2962944.823612,269584.000000,2962944.823612,269584.000000,2962944.823612,269584.000000,2962944.823612,269584.000000,2962944.823612,269584.000000
20,30.000000,12.000000,6061349.225441,105286.000000,6070671.983391,105286.000000,6070671.983391,105286.000000,5892356.052516,105286.000000,6018684.698123,105286.000000,6061349.225441,105286.000000
20,16.772000,64.000000,6033364.375089,104209.000000,6045627.799487,104209.000000,6045627.799487,104209.000000,5989331.093043,104209.000000,6239424.811470,239281.000000,6033364.375089,104209.000000
20,30.000000,18.000000,5991432.105557,145191.000000,6161733.271720,108087.000000,6161733.271720,108087.000000,6150699.780475,259589.000000,6271729.523815,273706.000000,6271729.523815,273706.000000
20,30.000000,6.000000,6231646.382958,109181.000000,6231646.382958,109181.000000,6231646.382958,109181.000000,6231646.382958,109181.000000,6231646.382958,109181.000000,6231646.382958,109181.000000
