Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
24,4.073000,262144.000000,286666.716976,286666.716976,286666.716976,286666.716976,286666.716976,286666.716976
24,4.639000,32768.000000,458320.295893,458320.295893,458320.295893,458320.295893,458320.295893,458320.295893
24,5.649000,4096.000000,807302.909640,807302.909640,807302.909640,807302.909640,807302.909640,807302.909640
24,7.918000,512.000000,1989034.524782,2001044.683757,2001044.683757,2001044.683757,2001044.683757,2001044.683757
24,30.000000,15.000000,4057787.186202,4057787.186202,4057787.186202,4057787.186202,4057787.186202,4029186.842429
24,30.000000,18.000000,4231470.408673,4260027.520860,4369744.420981,4369744.420981,4369744.420981,4305518.018437
24,16.772000,64.000000,3807542.798737,3807542.798737,3807542.798737,3807542.798737,3807542.798737,3802688.273122
24,30.000000,12.000000,3869822.426221,3869822.426221,3869822.426221,3869822.426221,3869822.426221,3869822.426221
24,30.000000,9.000000,3905312.679275,3905312.679275,3905312.679275,3905312.679275,3905312.679275,3905312.679275
24,30.000000,6.000000,4040904.578677,4040904.578677,4040904.578677,4040904.578677,4040904.578677,4040904.578677
