arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time
38,300.000000,150,32638242.962692,32638242.962692,32638242.962692,32638242.962692,32638242.962692,32638242.962692,32638242.962692,32638242.962692
38,1500.000000,600,181842151.303470,181842151.303470,181842151.303470,181842151.303470,181842151.303470,181842151.303470,181842151.303470,181842151.303470
38,8000.000000,3000,991499503.802801,991499503.802801,991499503.802801,991499503.802801,991499503.802801,991499503.802801,991499503.802801,991499503.802801
38,13.000000,262144,42229453.498950,42002112.166869,42002112.166869,42002112.166869,42002112.166869,42002112.166869,42002112.166869,42002112.166869
38,15.300000,32768,60061210.724240,59874923.694287,59874923.694287,59874923.694287,59874923.694287,59874923.694287,59874923.694287,59874923.694287
38,19.700000,4096,96577796.330456,96332248.115866,96332248.115866,96332248.115866,96332248.115866,96332248.115866,96332248.115866,96332248.115866
38,32.300000,512,172561064.219885,172561064.219885,172561064.219885,172561064.219885,172561064.219885,172561064.219885,172561064.219885,172561064.219885
38,90.000000,36,233836510.770286,233805873.309744,233812792.959331,233643876.057370,234842642.017027,241321496.907860,241388325.194626,235274994.845460
38,90.000000,27,235685310.830606,237726462.938735,238940698.832729,240225079.988209,240225079.988209,240098023.866250,239241128.998636,240225079.988209
38,90.000000,18,241583347.609359,241583347.609359,241583347.609359,241583347.609359,241583347.609359,241583347.609359,241583347.609359,241583347.609359
