frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
65536,264239.553003,264238.873287,264238.873287,264238.873287,264238.873287,264238.873287
4,286583.546339,286583.546339,286583.546339,286583.546339,286583.546339,286583.546339
8,275682.654570,275682.654570,275682.654570,275682.654570,275682.654570,275682.654570
32,660612.259353,660612.259353,660612.259353,660612.259353,660612.259353,660612.259353
16,525123.577612,525123.577612,525123.577612,525123.577612,525123.577612,525123.577612
512,667502.484255,667502.484255,667502.484255,667502.484255,667502.484255,667502.484255
64,789801.063952,789801.063952,789801.063952,789801.063952,789801.063952,789801.063952
2048,1534324.021480,1537105.602764,1537105.602764,1537105.602764,1537105.602764,1537105.602764
1024,1135122.174363,1135122.174363,1135122.174363,1135122.174363,1135122.174363,1135122.174363
2,482248.426348,482248.426348,482248.426348,482248.426348,482248.426348,482248.426348
128,1121913.574986,1121913.574986,1121913.574986,1121913.574986,1121913.574986,1121913.574986
256,1252498.426277,1252498.426277,1252498.426277,1252498.426277,1252498.426277,1252498.426277
32768,692932.038178,692932.038178,692932.038178,692932.038178,692932.038178,692932.038178
8192,1781843.548803,1781843.548803,1781843.548803,1781843.548803,1781843.548803,1781843.548803
4096,1959197.202676,1961763.391086,1961763.391086,1961763.391086,1961763.391086,1961763.391086
16384,1869413.534237,1869413.534237,1869413.534237,1869413.534237,1869413.534237,1869413.534237
