frequency,Dynamic_BAL_njobs50_mode0_L2_norm_flow_time,Dynamic_BAL_njobs50_mode0_maximum_flow_time,Dynamic_BAL_njobs50_mode1_L2_norm_flow_time,Dynamic_BAL_njobs50_mode1_maximum_flow_time,Dynamic_BAL_njobs50_mode2_L2_norm_flow_time,Dynamic_BAL_njobs50_mode2_maximum_flow_time,Dynamic_BAL_njobs50_mode4_L2_norm_flow_time,Dynamic_BAL_njobs50_mode4_maximum_flow_time,Dynamic_BAL_njobs50_mode8_L2_norm_flow_time,Dynamic_BAL_njobs50_mode8_maximum_flow_time,Dynamic_BAL_njobs50_mode16_L2_norm_flow_time,Dynamic_BAL_njobs50_mode16_maximum_flow_time
2,404475.567197,7750.000000,403452.050032,7832.000000,404475.567197,7750.000000,404475.567197,7750.000000,404475.567197,7750.000000,404475.567197,7750.000000
4,335999.183646,7350.000000,335862.182472,7660.000000,336002.611088,7350.000000,335999.183646,7350.000000,335999.183646,7350.000000,335999.183646,7350.000000
65536,1361706.315969,27600.000000,1311595.891387,32775.000000,1339209.130269,29724.000000,1361706.315969,27600.000000,1361706.315969,27600.000000,1361706.315969,27600.000000
16,445920.370686,9818.000000,445035.385362,9818.000000,445920.370686,9818.000000,445920.370686,9818.000000,445920.370686,9818.000000,445920.370686,9818.000000
256,723332.462785,14488.000000,720907.910184,14488.000000,723357.509864,14488.000000,723332.462785,14488.000000,723332.462785,14488.000000,723332.462785,14488.000000
128,705169.866563,12957.000000,703211.774842,13356.000000,705169.866563,12957.000000,705169.866563,12957.000000,705169.866563,12957.000000,705169.866563,12957.000000
8,500386.762740,10059.000000,500425.852889,10059.000000,500386.762740,10059.000000,500386.762740,10059.000000,500386.762740,10059.000000,500386.762740,10059.000000
64,820887.646751,14943.000000,819098.210003,14943.000000,820887.646751,14943.000000,820887.646751,14943.000000,820887.646751,14943.000000,820887.646751,14943.000000
32,796954.077254,12769.000000,793297.913113,12770.000000,796388.664020,12769.000000,796954.077254,12769.000000,796954.077254,12769.000000,796954.077254,12769.000000
2048,932093.519074,14756.000000,923110.040757,15412.000000,932093.519074,14756.000000,932093.519074,14756.000000,932093.519074,14756.000000,932093.519074,14756.000000
1024,1090923.939227,17073.000000,1082200.039970,17219.000000,1090900.882520,17073.000000,1090923.939227,17073.000000,1090923.939227,17073.000000,1090923.939227,17073.000000
512,1223114.672493,19553.000000,1218069.390410,19845.000000,1222881.435913,19553.000000,1223114.672493,19553.000000,1223114.672493,19553.000000,1223114.672493,19553.000000
8192,1437630.372558,70955.000000,1439281.175572,21962.000000,1449857.974281,21962.000000,1449857.974281,21962.000000,1449857.974281,21962.000000,1449857.974281,21962.000000
4096,1440767.035909,24200.000000,1428432.636858,24200.000000,1440767.035909,24200.000000,1440767.035909,24200.000000,1440767.035909,24200.000000,1440767.035909,24200.000000
16384,1376854.993425,20826.000000,1366621.559291,27422.000000,1376784.122577,20826.000000,1376784.122577,20826.000000,1376854.993425,20826.000000,1376854.993425,20826.000000
32768,3524689.869610,54925.000000,3481438.877111,54925.000000,3500722.740337,54925.000000,3524689.869610,54925.000000,3524689.869610,54925.000000,3524689.869610,54925.000000
