frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
65536,530275.365654,18753.000000,530275.365654,18753.000000,530275.365654,18753.000000,530275.365654,18753.000000,530275.365654,18753.000000,530275.365654,18753.000000
4,262513.240356,7058.000000,262513.240356,7058.000000,262513.240356,7058.000000,262513.240356,7058.000000,262513.240356,7058.000000,262513.240356,7058.000000
32,581419.297680,10703.000000,581419.297680,10703.000000,581419.297680,10703.000000,581419.297680,10703.000000,581419.297680,10703.000000,581419.297680,10703.000000
2,481480.457782,9094.000000,481480.457782,9094.000000,481480.457782,9094.000000,481480.457782,9094.000000,481480.457782,9094.000000,481480.457782,9094.000000
8,507322.262048,8864.000000,507322.262048,8864.000000,507322.262048,8864.000000,507322.262048,8864.000000,507322.262048,8864.000000,507322.262048,8864.000000
32768,812105.219940,18401.000000,812105.219940,18401.000000,812105.219940,18401.000000,812105.219940,18401.000000,812105.219940,18401.000000,812105.219940,18401.000000
16,716537.901135,12586.000000,716537.901135,12586.000000,716537.901135,12586.000000,716537.901135,12586.000000,716537.901135,12586.000000,716537.901135,12586.000000
2048,607061.382321,11686.000000,607061.382321,11686.000000,607061.382321,11686.000000,607061.382321,11686.000000,607061.382321,11686.000000,607061.382321,11686.000000
128,533255.178357,11397.000000,533255.178357,11397.000000,533255.178357,11397.000000,533255.178357,11397.000000,533255.178357,11397.000000,533255.178357,11397.000000
512,969059.339619,15424.000000,969059.339619,15424.000000,969059.339619,15424.000000,969059.339619,15424.000000,969059.339619,15424.000000,969059.339619,15424.000000
256,1198315.991339,21453.000000,1198315.991339,21453.000000,1198315.991339,21453.000000,1198315.991339,21453.000000,1198315.991339,21453.000000,1198315.991339,21453.000000
16384,1143583.334534,19370.000000,1143583.334534,19370.000000,1143583.334534,19370.000000,1143583.334534,19370.000000,1143583.334534,19370.000000,1143583.334534,19370.000000
1024,820138.093079,19428.000000,820138.093079,19428.000000,820138.093079,19428.000000,820138.093079,19428.000000,820138.093079,19428.000000,820138.093079,19428.000000
8192,752633.459465,15871.000000,752633.459465,15871.000000,752633.459465,15871.000000,752633.459465,15871.000000,752633.459465,15871.000000,752633.459465,15871.000000
64,1343351.423662,21680.000000,1343351.423662,21680.000000,1343351.423662,21680.000000,1343351.423662,21680.000000,1343351.423662,21680.000000,1343351.423662,21680.000000
4096,1348357.248531,22324.000000,1348357.248531,22324.000000,1348357.248531,22324.000000,1348357.248531,22324.000000,1348357.248531,22324.000000,1348357.248531,22324.000000
