frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
2,129401.121912,129401.121912,129401.121912,129401.121912,129401.121912,129401.121912
32,521215.866533,521215.866533,521215.866533,521215.866533,521215.866533,521215.866533
8,190254.582555,190254.582555,190254.582555,190254.582555,190254.582555,190254.582555
16,570021.246409,570021.246409,570021.246409,570021.246409,570021.246409,570021.246409
64,662549.863709,662490.754982,662490.754982,662490.754982,662490.754982,662490.754982
32768,588343.518595,588034.770040,588034.770040,588034.770040,588034.770040,588034.770040
128,520017.220619,520029.791999,520029.791999,520029.791999,520029.791999,520029.791999
4096,1223400.271694,1223400.271694,1223400.271694,1223400.271694,1223400.271694,1223400.271694
4,623270.446823,623270.446823,623270.446823,623270.446823,623270.446823,623270.446823
2048,1077112.135418,1085611.095946,1085611.095946,1085611.095946,1085611.095946,1085611.095946
512,1460831.466494,1460831.466494,1460831.466494,1460831.466494,1460831.466494,1460804.752506
1024,1157583.236432,1158115.872395,1158115.872395,1158115.872395,1158115.872395,1158115.872395
256,1378759.541238,1378759.541238,1378759.541238,1378759.541238,1378759.541238,1378759.541238
8192,1134525.841471,1137712.667732,1137712.667732,1137712.667732,1137818.051212,1137712.667732
16384,1738705.633013,1751252.765866,1751252.765866,1751252.765866,1751252.765866,1734111.097898
65536,3031658.701657,3050425.143985,3050425.143985,3050425.143985,3050425.143985,3050425.143985
