frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
32768,535418.955973,14960.000000,535418.955973,14960.000000,535418.955973,14960.000000,535418.955973,14960.000000,535418.955973,14960.000000,535418.955973,14960.000000
16,354818.771168,6091.000000,354818.771168,6091.000000,354818.771168,6091.000000,354818.771168,6091.000000,354818.771168,6091.000000,354818.771168,6091.000000
2,546215.973791,9156.000000,546215.973791,9156.000000,546215.973791,9156.000000,546215.973791,9156.000000,546215.973791,9156.000000,546215.973791,9156.000000
8,268490.879232,9826.000000,268490.879232,9826.000000,268490.879232,9826.000000,268490.879232,9826.000000,268490.879232,9826.000000,268490.879232,9826.000000
4,321362.157537,7148.000000,321362.157537,7148.000000,321362.157537,7148.000000,321362.157537,7148.000000,321362.157537,7148.000000,321362.157537,7148.000000
64,737939.207060,13964.000000,737939.207060,13964.000000,737939.207060,13964.000000,737939.207060,13964.000000,737939.207060,13964.000000,737939.207060,13964.000000
256,868599.902094,16465.000000,868599.902094,16465.000000,868599.902094,16465.000000,868599.902094,16465.000000,868599.902094,16465.000000,868599.902094,16465.000000
1024,954282.815040,14530.000000,954282.815040,14530.000000,954282.815040,14530.000000,954282.815040,14530.000000,954282.815040,14530.000000,954282.815040,14530.000000
32,731901.721173,13350.000000,731901.721173,13350.000000,731901.721173,13350.000000,731901.721173,13350.000000,731901.721173,13350.000000,731901.721173,13350.000000
8192,989359.619881,15374.000000,989359.619881,15374.000000,989359.619881,15374.000000,989359.619881,15374.000000,989359.619881,15374.000000,989359.619881,15374.000000
4096,1072006.268302,23739.000000,1072006.268302,23739.000000,1072006.268302,23739.000000,1072006.268302,23739.000000,1072006.268302,23739.000000,1072006.268302,23739.000000
16384,875464.917568,15499.000000,875464.917568,15499.000000,875464.917568,15499.000000,875464.917568,15499.000000,875464.917568,15499.000000,875464.917568,15499.000000
512,679313.159281,11752.000000,679313.159281,11752.000000,679313.159281,11752.000000,679313.159281,11752.000000,679313.159281,11752.000000,679313.159281,11752.000000
128,1041047.832635,18723.000000,1041047.832635,18723.000000,1041047.832635,18723.000000,1041047.832635,18723.000000,1041047.832635,18723.000000,1041047.832635,18723.000000
2048,1088937.680642,19667.000000,1088937.680642,19667.000000,1088937.680642,19667.000000,1088937.680642,19667.000000,1088937.680642,19667.000000,1088937.680642,19667.000000
65536,1266523.694823,30430.000000,1267819.647745,26631.000000,1267819.647745,26631.000000,1267819.647745,26631.000000,1267819.647745,26631.000000,1267819.647745,26631.000000
