frequency,Dynamic_BAL_njobs25_mode0_L2_norm_flow_time,Dynamic_BAL_njobs25_mode1_L2_norm_flow_time,Dynamic_BAL_njobs25_mode2_L2_norm_flow_time,Dynamic_BAL_njobs25_mode4_L2_norm_flow_time,Dynamic_BAL_njobs25_mode8_L2_norm_flow_time,Dynamic_BAL_njobs25_mode16_L2_norm_flow_time,Dynamic_BAL_njobs25_mode0_maximum_flow_time,Dynamic_BAL_njobs25_mode1_maximum_flow_time,Dynamic_BAL_njobs25_mode2_maximum_flow_time,Dynamic_BAL_njobs25_mode4_maximum_flow_time,Dynamic_BAL_njobs25_mode8_maximum_flow_time,Dynamic_BAL_njobs25_mode16_maximum_flow_time
8,436017.160912,431878.674300,426802.270809,434132.463601,436017.160912,436017.160912,7495.000000,11539.000000,9790.000000,7495.000000,7495.000000,7495.000000
16,395244.647083,395692.486373,388285.915191,395134.861598,395244.647083,395244.647083,7362.000000,12696.000000,8768.000000,7362.000000,7362.000000,7362.000000
8192,325957.784288,325619.052297,325246.621574,325280.002218,325957.784288,325957.784288,9612.000000,12387.000000,9612.000000,9612.000000,9612.000000,9612.000000
2,506338.688366,501406.666508,496665.589052,505078.748253,506338.688366,506338.688366,7964.000000,12972.000000,9865.000000,9407.000000,7964.000000,7964.000000
4,640384.476035,632091.988676,626845.250539,638414.495142,640384.476035,640384.476035,9621.000000,13936.000000,11188.000000,9621.000000,9621.000000,9621.000000
64,974039.954016,923449.876267,936397.124071,965856.017491,973304.249302,974039.954016,16530.000000,29317.000000,29317.000000,16530.000000,16530.000000,16530.000000
128,952258.349182,925988.486253,928574.306447,951105.704887,952258.349182,952258.349182,17426.000000,21119.000000,17428.000000,17426.000000,17426.000000,17426.000000
65536,1316858.328040,1289999.688980,1314357.511490,1346870.372950,1398871.236934,1412212.789707,79386.000000,48853.000000,42558.000000,41917.000000,44540.000000,37065.000000
1024,1097164.798174,1055568.641922,1062563.091160,1089066.248175,1096146.729851,1097164.798174,17305.000000,29108.000000,17305.000000,17305.000000,17305.000000,17305.000000
256,1381171.612526,1314546.727964,1331647.819358,1360359.560410,1381171.612526,1381171.612526,23061.000000,29009.000000,24546.000000,23560.000000,23061.000000,23061.000000
512,991684.579394,956848.486869,962057.956905,981393.767655,989401.438530,991684.579394,20173.000000,20173.000000,20173.000000,20173.000000,20173.000000,20173.000000
32,879479.344733,850608.407506,853307.873498,877114.601431,879479.344733,879479.344733,13791.000000,26990.000000,14187.000000,13791.000000,13791.000000,13791.000000
16384,1944798.288754,1887540.999669,1907423.388238,1980395.391574,2020995.588048,2022480.223443,90035.000000,42465.000000,42392.000000,42392.000000,42392.000000,42392.000000
2048,1210864.962278,1178563.016565,1194342.447912,1204734.140626,1210864.962278,1210864.962278,24905.000000,24905.000000,24905.000000,24905.000000,24905.000000,24905.000000
4096,1587706.013851,1541447.249783,1569260.333120,1616193.069891,1639454.307405,1639454.307405,69261.000000,32339.000000,31192.000000,31192.000000,31192.000000,31192.000000
32768,1578766.560778,1513745.279652,1530851.698926,1573429.269196,1630435.691355,1633587.784035,113238.000000,41816.000000,32312.000000,30078.000000,27920.000000,27920.000000
