frequency,Dynamic_BAL_njobs25_mode0_L2_norm_flow_time,Dynamic_BAL_njobs25_mode1_L2_norm_flow_time,Dynamic_BAL_njobs25_mode2_L2_norm_flow_time,Dynamic_BAL_njobs25_mode4_L2_norm_flow_time,Dynamic_BAL_njobs25_mode8_L2_norm_flow_time,Dynamic_BAL_njobs25_mode16_L2_norm_flow_time,Dynamic_BAL_njobs25_mode0_maximum_flow_time,Dynamic_BAL_njobs25_mode1_maximum_flow_time,Dynamic_BAL_njobs25_mode2_maximum_flow_time,Dynamic_BAL_njobs25_mode4_maximum_flow_time,Dynamic_BAL_njobs25_mode8_maximum_flow_time,Dynamic_BAL_njobs25_mode16_maximum_flow_time
65536,762374.077026,760356.440522,762110.369919,762357.137388,762374.077026,762374.077026,23578.000000,23578.000000,23578.000000,23578.000000,23578.000000,23578.000000
4,405595.705449,404759.041415,405288.770234,405595.705449,405595.705449,405595.705449,7891.000000,9032.000000,7891.000000,7891.000000,7891.000000,7891.000000
1024,1144470.613669,1122195.052967,1133224.299603,1144470.613669,1144470.613669,1144470.613669,21419.000000,23849.000000,21944.000000,21419.000000,21419.000000,21419.000000
2,459828.505831,457859.644606,459741.926016,459828.505831,459828.505831,459828.505831,8990.000000,9848.000000,8990.000000,8990.000000,8990.000000,8990.000000
64,975615.455553,962922.180441,975151.879821,975615.455553,975615.455553,975615.455553,17746.000000,32872.000000,17746.000000,17746.000000,17746.000000,17746.000000
8,789321.082812,780670.747287,786557.688421,789321.082812,789321.082812,789321.082812,15126.000000,15126.000000,15126.000000,15126.000000,15126.000000,15126.000000
16,722278.845334,715769.915013,721771.291307,722278.845334,722278.845334,722278.845334,10812.000000,11696.000000,10812.000000,10812.000000,10812.000000,10812.000000
16384,1185379.075302,1168994.523917,1177009.696109,1180821.489951,1185379.075302,1185379.075302,19890.000000,23791.000000,22455.000000,20520.000000,19890.000000,19890.000000
32,879122.899275,871501.403115,876153.505191,879122.899275,879122.899275,879122.899275,12005.000000,13848.000000,12412.000000,12005.000000,12005.000000,12005.000000
128,1052407.037092,1034635.942403,1044065.251825,1052407.037092,1052407.037092,1052407.037092,18481.000000,19724.000000,18547.000000,18481.000000,18481.000000,18481.000000
2048,1616114.000804,1586373.701432,1609279.094253,1616114.000804,1616114.000804,1616114.000804,25663.000000,30631.000000,25877.000000,25663.000000,25663.000000,25663.000000
256,1262113.253274,1247771.981998,1260538.385548,1262113.253274,1262113.253274,1262113.253274,20830.000000,20830.000000,20830.000000,20830.000000,20830.000000,20830.000000
8192,1494989.803600,1473074.716345,1489637.680175,1494989.803600,1494989.803600,1494989.803600,25466.000000,27402.000000,25466.000000,25466.000000,25466.000000,25466.000000
4096,1563472.379837,1525446.931742,1545327.966920,1561344.223339,1563472.379837,1563472.379837,24225.000000,26556.000000,25296.000000,24523.000000,24225.000000,24225.000000
512,1291213.295944,1276912.635828,1288361.763265,1290765.780547,1291213.295944,1291213.295944,19864.000000,19864.000000,19864.000000,19864.000000,19864.000000,19864.000000
32768,1388690.393080,1354943.049940,1377628.920906,1388690.393080,1388690.393080,1388690.393080,23304.000000,24474.000000,23304.000000,23304.000000,23304.000000,23304.000000
