frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time
16384,708085.925903,708309.406414,708309.406414,708309.406414,708309.406414,708309.406414,17147.000000,17147.000000,17147.000000,17147.000000,17147.000000,17147.000000
4,434811.988073,434811.988073,434811.988073,434811.988073,434811.988073,434811.988073,6899.000000,6899.000000,6899.000000,6899.000000,6899.000000,6899.000000
8,492017.199174,492017.199174,492017.199174,492017.199174,492017.199174,492017.199174,8046.000000,8046.000000,8046.000000,8046.000000,8046.000000,8046.000000
16,578252.285496,578252.285496,578252.285496,578252.285496,578252.285496,578252.285496,10029.000000,10029.000000,10029.000000,10029.000000,10029.000000,10029.000000
32,579510.021103,579510.021103,579510.021103,579510.021103,579510.021103,579510.021103,11414.000000,11414.000000,11414.000000,11414.000000,11414.000000,11414.000000
2,577708.468152,577708.468152,577708.468152,577708.468152,577708.468152,577708.468152,9529.000000,9529.000000,9529.000000,9529.000000,9529.000000,9529.000000
64,772789.346092,772789.346092,772789.346092,772789.346092,772789.346092,772789.346092,11909.000000,11909.000000,11909.000000,11909.000000,11909.000000,11909.000000
512,882808.298070,882808.298070,882808.298070,882808.298070,882808.298070,882808.298070,15079.000000,15079.000000,15079.000000,15079.000000,15079.000000,15079.000000
65536,801878.120667,806751.401108,806751.401108,806751.401108,806751.401108,806751.401108,20256.000000,18520.000000,18520.000000,18520.000000,18520.000000,18520.000000
128,1268095.856749,1268095.856749,1268095.856749,1268095.856749,1268095.856749,1268095.856749,20696.000000,20696.000000,20696.000000,20696.000000,20696.000000,20696.000000
4096,1591046.408004,1591041.234125,1591041.234125,1591041.234125,1591046.408004,1591041.234125,28950.000000,28950.000000,28950.000000,28950.000000,28950.000000,28950.000000
2048,1194178.781940,1194178.781940,1194178.781940,1194178.781940,1194178.781940,1194178.781940,19953.000000,19953.000000,19953.000000,19953.000000,19953.000000,19953.000000
1024,1256225.483559,1256225.483559,1256225.483559,1256225.483559,1256225.483559,1256225.483559,18276.000000,18276.000000,18276.000000,18276.000000,18276.000000,18276.000000
8192,1017309.597015,1017411.306614,1017411.306614,1017411.306614,1017411.306614,1017411.306614,17062.000000,14857.000000,14857.000000,14857.000000,14857.000000,14857.000000
256,1371041.434392,1371041.434392,1371041.434392,1371041.434392,1371041.434392,1371041.434392,22806.000000,22806.000000,22806.000000,22806.000000,22806.000000,22806.000000
32768,1356738.938340,1356738.938340,1356738.938340,1356738.938340,1356738.938340,1356738.938340,21744.000000,21744.000000,21744.000000,21744.000000,21744.000000,21744.000000
