frequency,Dynamic_BAL_njobs25_mode0_L2_norm_flow_time,Dynamic_BAL_njobs25_mode1_L2_norm_flow_time,Dynamic_BAL_njobs25_mode2_L2_norm_flow_time,Dynamic_BAL_njobs25_mode4_L2_norm_flow_time,Dynamic_BAL_njobs25_mode8_L2_norm_flow_time,Dynamic_BAL_njobs25_mode16_L2_norm_flow_time,Dynamic_BAL_njobs25_mode0_maximum_flow_time,Dynamic_BAL_njobs25_mode1_maximum_flow_time,Dynamic_BAL_njobs25_mode2_maximum_flow_time,Dynamic_BAL_njobs25_mode4_maximum_flow_time,Dynamic_BAL_njobs25_mode8_maximum_flow_time,Dynamic_BAL_njobs25_mode16_maximum_flow_time
4,102801.236311,103448.933006,102879.842234,102801.236311,102801.236311,102801.236311,2308.000000,3194.000000,2308.000000,2308.000000,2308.000000,2308.000000
8,301361.928485,300233.651368,300893.325052,301358.645532,301361.928485,301361.928485,5734.000000,6880.000000,6118.000000,5734.000000,5734.000000,5734.000000
16384,263117.886619,262858.632731,262821.306777,263138.142934,263117.886619,263117.886619,6468.000000,8970.000000,6468.000000,6468.000000,6468.000000,6468.000000
32,510419.129582,503778.569555,509853.759145,510419.129582,510419.129582,510419.129582,11682.000000,20763.000000,11682.000000,11682.000000,11682.000000,11682.000000
4096,920984.730451,895410.441121,911138.750699,920472.323292,920984.730451,920984.730451,18283.000000,33782.000000,18292.000000,18283.000000,18283.000000,18283.000000
1024,800473.837720,787441.741994,796949.195498,800143.466121,800473.837720,800473.837720,15115.000000,15623.000000,15115.000000,15115.000000,15115.000000,15115.000000
64,871882.667362,856285.116109,863323.694388,870088.297298,871882.667362,871882.667362,15347.000000,16420.000000,15347.000000,15347.000000,15347.000000,15347.000000
2,500042.495564,494703.374367,499465.575001,500042.495564,500042.495564,500042.495564,7178.000000,8377.000000,7178.000000,7178.000000,7178.000000,7178.000000
128,690837.582217,682731.741742,687666.431672,690837.582217,690837.582217,690837.582217,11561.000000,12134.000000,11873.000000,11561.000000,11561.000000,11561.000000
2048,1088835.357509,1067538.794037,1079664.147156,1088737.991254,1088835.357509,1088835.357509,16650.000000,18081.000000,17318.000000,16650.000000,16650.000000,16650.000000
16,668645.254163,664059.678476,665603.282538,668645.254163,668645.254163,668645.254163,10204.000000,13034.000000,10887.000000,10204.000000,10204.000000,10204.000000
512,976873.242555,958592.222916,970311.054995,976436.744328,976873.242555,976873.242555,16277.000000,16421.000000,16288.000000,16277.000000,16277.000000,16277.000000
8192,1826875.442288,1767230.094102,1799289.197005,1820865.487810,1826875.442288,1826875.442288,32838.000000,34559.000000,32992.000000,32838.000000,32838.000000,32838.000000
256,1235453.870513,1204778.070603,1227349.214956,1233525.196633,1235453.870513,1235453.870513,21924.000000,41643.000000,21924.000000,21924.000000,21924.000000,21924.000000
32768,1358669.562627,1329108.360321,1348836.307275,1356913.034763,1358669.562627,1358669.562627,20680.000000,32235.000000,20975.000000,20680.000000,20680.000000,20680.000000
65536,3915502.038710,3805141.926967,3897822.352258,3921301.796422,3921301.796422,3921301.796422,69051.000000,69051.000000,69051.000000,69051.000000,69051.000000,69051.000000
