frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
1024,15341197.289737,14939520.345066,14922483.526569,14935421.078953,15341197.289737,15341197.289737,546926.000000,289029.000000,289029.000000,289029.000000,546926.000000,546926.000000
128,14029197.137593,13568784.448934,13852366.589389,13948491.116808,14029197.137593,14029197.137593,539488.000000,480263.000000,510603.000000,510603.000000,539488.000000,539488.000000
16384,16821634.026053,17640588.797899,18097605.396848,17594045.178923,16781455.652001,16821634.026053,587415.000000,320630.000000,320630.000000,320630.000000,577396.000000,587415.000000
16,13116618.410507,12638047.765286,12750054.384746,12767919.164130,13116618.410507,13116618.410507,539353.000000,454687.000000,473346.000000,473346.000000,539353.000000,539353.000000
2048,14603273.471450,13995574.446484,14035180.242558,14159194.648493,14603273.471450,14603273.471450,557906.000000,459754.000000,459754.000000,475999.000000,557906.000000,557906.000000
256,13826595.530394,13403582.189761,13438534.328022,13773175.026473,13826595.530394,13826595.530394,534350.000000,472327.000000,478344.000000,517748.000000,534350.000000,534350.000000
2,13923601.541675,13569859.555724,13644024.102603,13804345.690595,13923601.541675,13923601.541675,551193.000000,492646.000000,492646.000000,504624.000000,551193.000000,551193.000000
32768,10181054.152554,10239482.279319,10241682.563800,10142031.363526,9975216.034661,9875667.262706,259252.000000,170752.000000,170752.000000,275786.000000,249594.000000,324091.000000
32,13643983.418693,13472815.009800,13502741.240170,13608253.262813,13643983.418693,13643983.418693,537661.000000,496302.000000,484533.000000,515551.000000,537661.000000,537661.000000
4096,11242407.769819,11893731.547851,11587082.597464,11292814.069573,11329773.917961,11242407.769819,479241.000000,201866.000000,201866.000000,201866.000000,241919.000000,479241.000000
4,13353065.610995,12859655.757783,13096116.554378,13033085.502646,13353065.610995,13353065.610995,542914.000000,471927.000000,493347.000000,480182.000000,542914.000000,542914.000000
512,14374575.941534,14007842.485839,14042214.186949,14158337.765825,14374575.941534,14374575.941534,546052.000000,485060.000000,496448.000000,503734.000000,546052.000000,546052.000000
64,13220429.194937,12746749.340585,12940047.276097,12872329.980978,13220429.194937,13220429.194937,531005.000000,458365.000000,248115.000000,248115.000000,531005.000000,531005.000000
65536,11929648.906160,11815190.989644,11751215.363089,11694891.954390,12142341.348649,12380477.760497,242761.000000,232256.000000,232256.000000,232256.000000,408756.000000,414596.000000
8192,15495532.552617,16103077.567267,15850925.753314,15613007.369738,15408469.445570,15495532.552617,560088.000000,302866.000000,302866.000000,302866.000000,521184.000000,560088.000000
8,13541738.063604,13207471.332183,13253149.540749,13325969.209571,13541738.063604,13541738.063604,520408.000000,477170.000000,477170.000000,487421.000000,520408.000000,520408.000000
