frequency,Dynamic_BAL_njobs50_mode0_L2_norm_flow_time,Dynamic_BAL_njobs50_mode1_L2_norm_flow_time,Dynamic_BAL_njobs50_mode2_L2_norm_flow_time,Dynamic_BAL_njobs50_mode4_L2_norm_flow_time,Dynamic_BAL_njobs50_mode8_L2_norm_flow_time,Dynamic_BAL_njobs50_mode16_L2_norm_flow_time,Dynamic_BAL_njobs50_mode0_maximum_flow_time,Dynamic_BAL_njobs50_mode1_maximum_flow_time,Dynamic_BAL_njobs50_mode2_maximum_flow_time,Dynamic_BAL_njobs50_mode4_maximum_flow_time,Dynamic_BAL_njobs50_mode8_maximum_flow_time,Dynamic_BAL_njobs50_mode16_maximum_flow_time
1024,18182445.986900,17626494.069016,17758910.497223,18054842.834906,18138773.724841,18192667.852573,314674.000000,478497.000000,314674.000000,314674.000000,314674.000000,314674.000000
128,769045.180807,755921.767055,767059.274126,769045.180807,769045.180807,769045.180807,12195.000000,14471.000000,12818.000000,12195.000000,12195.000000,12195.000000
16384,17100522.864209,17002185.057383,17009274.942141,17077057.412122,17085839.992015,17100522.864209,299867.000000,446636.000000,446636.000000,299867.000000,299867.000000,299867.000000
16,17690320.135121,17351412.802908,17509594.126990,17703426.484863,17703426.484863,17703426.484863,307252.000000,307252.000000,307252.000000,307252.000000,307252.000000,307252.000000
2048,35283174.215668,34755211.726650,34722487.306262,34730445.166392,35319062.624812,35276684.989812,902842.000000,862821.000000,856449.000000,856449.000000,621380.000000,621380.000000
256,18616312.051414,18229115.041203,18382146.562884,18618127.524400,18643717.945604,18643717.945604,321932.000000,321932.000000,321932.000000,321932.000000,321932.000000,321932.000000
2,520782.179379,514306.069923,520782.179379,520782.179379,520782.179379,520782.179379,9472.000000,11424.000000,9472.000000,9472.000000,9472.000000,9472.000000
32768,19346732.888404,19347467.589160,19386072.573828,19394516.493850,19394183.118004,19414113.366427,338651.000000,338651.000000,338651.000000,338651.000000,338651.000000,338651.000000
32,17844204.773282,17508304.900551,17597955.463672,17864269.601641,17864269.601641,17864269.601641,309111.000000,309111.000000,309111.000000,309111.000000,309111.000000,309111.000000
4096,873366.469885,865604.176749,872698.463389,873366.469885,873366.469885,873366.469885,12619.000000,13984.000000,12619.000000,12619.000000,12619.000000,12619.000000
4,540278.860374,537901.878292,540226.853773,540278.860374,540278.860374,540278.860374,11251.000000,11251.000000,11251.000000,11251.000000,11251.000000,11251.000000
512,1022660.819780,1009423.103029,1019728.966606,1021635.977350,1022660.819780,1022660.819780,23209.000000,23209.000000,23209.000000,23209.000000,23209.000000,23209.000000
64,1006254.269591,992880.910506,1004524.257040,1006254.269591,1006254.269591,1006254.269591,17834.000000,18380.000000,17834.000000,17834.000000,17834.000000,17834.000000
65536,17875239.151177,17935045.439494,17998931.820443,18006174.725096,18069998.956076,18057871.374474,315498.000000,315498.000000,315498.000000,315498.000000,315498.000000,315498.000000
8192,17503514.560879,17141577.079074,17393083.301427,17497943.241900,17526206.497393,17547968.717527,297637.000000,449652.000000,297637.000000,297637.000000,297637.000000,297637.000000
8,17580093.355683,17265625.910588,17395255.309305,17587881.381151,17587881.381151,17587881.381151,307010.000000,307010.000000,307010.000000,307010.000000,307010.000000,307010.000000
