frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time
1024,25330355.224784,24225224.276215,23448071.789085,23384564.194881,22830264.227929,22830264.227929,812786.000000,833154.000000,833154.000000,833154.000000,833154.000000,833154.000000
128,10530096.332194,10256798.515686,10096667.898640,10094446.113432,10095511.216290,9990799.573683,476926.000000,491381.000000,503899.000000,503899.000000,503899.000000,509041.000000
16384,12251191.193409,12261964.832356,12258726.028731,12248743.737158,12024517.219869,12459383.242500,570461.000000,570461.000000,570461.000000,570461.000000,570461.000000,570461.000000
16,21005965.932651,20902750.745322,20902750.745322,20902750.745322,20902750.745322,20902750.745322,837198.000000,837198.000000,837198.000000,837198.000000,837198.000000,837198.000000
2048,12830187.144046,12656730.087520,12252186.375213,12130528.006414,9509853.958037,8302600.356835,514884.000000,514884.000000,514884.000000,514884.000000,547280.000000,549866.000000
256,20871844.217877,20733856.542961,20733856.542961,20733856.542961,20733856.542961,20733856.542961,889852.000000,889852.000000,889852.000000,889852.000000,889852.000000,889852.000000
2,20394673.516730,20394673.516730,20394673.516730,20394673.516730,20394673.516730,20394673.516730,837084.000000,837084.000000,837084.000000,837084.000000,837084.000000,837084.000000
32768,23129055.807946,23262305.623105,23207524.570891,23291065.438818,19875058.674192,19875058.674192,810641.000000,810641.000000,810641.000000,803273.000000,855746.000000,855746.000000
32,492809.213934,468303.849898,431391.589067,255886.546159,236883.823205,237278.491341,28523.000000,40873.000000,62053.000000,77811.000000,180528.000000,180528.000000
4096,248583.719580,250786.418737,256809.659102,252044.803735,283213.051926,294610.281759,68539.000000,68539.000000,68539.000000,68539.000000,68539.000000,68539.000000
4,857766.229336,654755.084802,546037.291231,387620.152750,387627.072500,387637.217670,54026.000000,83883.000000,132347.000000,237769.000000,237769.000000,237769.000000
512,24183257.113379,23968468.971004,22481891.787719,22481891.787719,22481891.787719,22481891.787719,818327.000000,818327.000000,860967.000000,860967.000000,860967.000000,860967.000000
64,1225543.111916,1025362.250257,913928.181466,730561.521398,396194.495401,396345.194782,49031.000000,68142.000000,105126.000000,177598.000000,229099.000000,229099.000000
65536,15425585.198015,15425585.198015,15414784.385756,15401632.148029,15391048.899558,15291159.052705,434963.000000,434963.000000,434963.000000,434963.000000,434963.000000,434963.000000
8192,1270757.757618,1216692.724700,1210409.213453,1137136.457053,967060.706181,655814.853552,110965.000000,125487.000000,129353.000000,177043.000000,198716.000000,296378.000000
8,12869035.037627,10910133.738218,10369424.009290,10346626.702744,10346626.702744,10171353.676989,279197.000000,473956.000000,507033.000000,507033.000000,507033.000000,524761.000000
