frequency,Dynamic_njobs100_mode0_L2_norm_flow_time,Dynamic_njobs100_mode0_maximum_flow_time,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time,Dynamic_njobs100_mode8_maximum_flow_time,Dynamic_njobs100_mode16_L2_norm_flow_time,Dynamic_njobs100_mode16_maximum_flow_time
32,197240.903352,173675.000000,197240.903352,173675.000000,197240.903352,173675.000000,197240.903352,173675.000000,197240.903352,173675.000000,197240.903352,173675.000000
4,147651.584109,94269.000000,147651.584109,94269.000000,147651.584109,94269.000000,147651.584109,94269.000000,147651.584109,94269.000000,147651.584109,94269.000000
2,123012.804480,81994.000000,123012.804480,81994.000000,123012.804480,81994.000000,123012.804480,81994.000000,123012.804480,81994.000000,123012.804480,81994.000000
8,166025.282575,99498.000000,166025.282575,99498.000000,166025.282575,99498.000000,166025.282575,99498.000000,166025.282575,99498.000000,166025.282575,99498.000000
16,270662.072563,155113.000000,270662.325138,155113.000000,270662.072563,155113.000000,270662.072563,155113.000000,270662.072563,155113.000000,270662.072563,155113.000000
16384,197759.810313,94031.000000,197759.810313,94031.000000,197759.810313,94031.000000,197759.810313,94031.000000,197759.810313,94031.000000,197759.810313,94031.000000
32768,223668.233165,131515.000000,223668.233165,131515.000000,223668.233165,131515.000000,223668.233165,131515.000000,223668.233165,131515.000000,223668.233165,131515.000000
256,173616.937094,117984.000000,175559.219593,117984.000000,173616.937094,117984.000000,173616.937094,117984.000000,173616.937094,117984.000000,173616.937094,117984.000000
8192,247793.311225,103054.000000,248617.772653,103054.000000,247793.311225,103054.000000,247793.311225,103054.000000,247793.311225,103054.000000,247793.311225,103054.000000
1024,270943.493891,216162.000000,270943.493891,216162.000000,270943.493891,216162.000000,270943.493891,216162.000000,270943.493891,216162.000000,270943.493891,216162.000000
65536,404822.403988,174367.000000,404822.403988,174367.000000,404822.403988,174367.000000,404822.403988,174367.000000,404822.403988,174367.000000,404822.403988,174367.000000
128,337508.816534,215811.000000,337508.816534,215811.000000,337508.816534,215811.000000,337508.816534,215811.000000,337508.816534,215811.000000,337508.816534,215811.000000
4096,386221.375035,347133.000000,386221.375035,347133.000000,386221.375035,347133.000000,386221.375035,347133.000000,386221.375035,347133.000000,386221.375035,347133.000000
2048,362732.821020,321344.000000,6933336.929609,259438.000000,362732.821020,321344.000000,362732.821020,321344.000000,362732.821020,321344.000000,362732.821020,321344.000000
512,619981.207465,310688.000000,738759.985255,266237.000000,619981.207465,310688.000000,619981.207465,310688.000000,619981.207465,310688.000000,619981.207465,310688.000000
64,438121.778410,307285.000000,438121.778410,307285.000000,438121.778410,307285.000000,438121.778410,307285.000000,438121.778410,307285.000000,438121.778410,307285.000000
