frequency,Dynamic_njobs200_mode0_L2_norm_flow_time,Dynamic_njobs200_mode0_maximum_flow_time,Dynamic_njobs200_mode1_L2_norm_flow_time,Dynamic_njobs200_mode1_maximum_flow_time,Dynamic_njobs200_mode2_L2_norm_flow_time,Dynamic_njobs200_mode2_maximum_flow_time,Dynamic_njobs200_mode4_L2_norm_flow_time,Dynamic_njobs200_mode4_maximum_flow_time,Dynamic_njobs200_mode8_L2_norm_flow_time,Dynamic_njobs200_mode8_maximum_flow_time,Dynamic_njobs200_mode16_L2_norm_flow_time,Dynamic_njobs200_mode16_maximum_flow_time
16,193953.349383,99998.000000,193953.349383,99998.000000,193953.349383,99998.000000,193953.349383,99998.000000,193953.349383,99998.000000,193953.349383,99998.000000
1024,185228.380684,122929.000000,185228.380684,122929.000000,185228.380684,122929.000000,185228.380684,122929.000000,185228.380684,122929.000000,185228.380684,122929.000000
512,140533.052934,54494.000000,140533.052934,54494.000000,140533.052934,54494.000000,140533.052934,54494.000000,140533.052934,54494.000000,140533.052934,54494.000000
64,52987.250551,15606.000000,52987.250551,15606.000000,52987.250551,15606.000000,52987.250551,15606.000000,52987.250551,15606.000000,52987.250551,15606.000000
32768,313523.238431,199406.000000,313523.238431,199406.000000,313523.238431,199406.000000,313523.238431,199406.000000,313523.238431,199406.000000,313523.238431,199406.000000
4096,306988.827095,173687.000000,306988.827095,173687.000000,306988.827095,173687.000000,306988.827095,173687.000000,306988.827095,173687.000000,306988.827095,173687.000000
2,251616.398766,204108.000000,251616.398766,204108.000000,251616.398766,204108.000000,251616.398766,204108.000000,251616.398766,204108.000000,251616.398766,204108.000000
8,359324.559674,262820.000000,359324.559674,262820.000000,359324.559674,262820.000000,359324.559674,262820.000000,359324.559674,262820.000000,359324.559674,262820.000000
256,245832.816383,188539.000000,245832.816383,188539.000000,245832.816383,188539.000000,245832.816383,188539.000000,245832.816383,188539.000000,245832.816383,188539.000000
4,351191.188833,184413.000000,351191.188833,184413.000000,351191.188833,184413.000000,351191.188833,184413.000000,351191.188833,184413.000000,351191.188833,184413.000000
2048,201200.685819,92426.000000,201200.685819,92426.000000,201200.685819,92426.000000,201200.685819,92426.000000,201200.685819,92426.000000,201200.685819,92426.000000
8192,365341.551817,306901.000000,365341.551817,306901.000000,365341.551817,306901.000000,365341.551817,306901.000000,365341.551817,306901.000000,365341.551817,306901.000000
128,259232.712978,167293.000000,259232.712978,167293.000000,259232.712978,167293.000000,259232.712978,167293.000000,259232.712978,167293.000000,259232.712978,167293.000000
65536,338994.532937,261524.000000,338994.532937,261524.000000,338994.532937,261524.000000,338994.532937,261524.000000,338994.532937,261524.000000,338994.532937,261524.000000
32,423039.875136,259207.000000,423039.875136,259207.000000,423039.875136,259207.000000,423039.875136,259207.000000,423039.875136,259207.000000,423039.875136,259207.000000
16384,510479.727601,414193.000000,510479.727601,414193.000000,510479.727601,414193.000000,510479.727601,414193.000000,510479.727601,414193.000000,510479.727601,414193.000000
