frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
1024,128254.639433,128254.639433,128254.639433,128254.639433,128254.639433,128254.639433
4,117720.979205,117720.979205,117720.979205,117720.979205,117720.979205,117720.979205
4096,330468.091216,330468.091216,330468.091216,330468.091216,330468.091216,330468.091216
2,330366.263727,330333.462100,330333.462100,330333.462100,330366.263727,330333.462100
16384,327146.177059,327146.177059,327146.177059,327146.177059,327146.177059,327146.177059
32,290425.173429,290425.173429,290425.173429,290425.173429,290425.173429,290425.173429
128,278879.747856,278879.747856,278879.747856,278879.747856,278879.747856,278879.747856
8192,305108.774525,305108.774525,305108.774525,305108.774525,305108.774525,305108.774525
16,429993.631112,429993.631112,429993.631112,429993.631112,429993.631112,429993.631112
512,328936.316137,328936.316137,328936.316137,328936.316137,328936.316137,328936.316137
2048,472145.058978,472145.058978,472145.058978,472145.058978,472145.058978,472145.058978
64,297681.605550,297681.605550,297681.605550,297681.605550,297681.605550,297681.605550
256,341945.204550,339615.396100,339615.396100,339615.396100,339615.396100,339615.396100
8,730054.488634,730054.488634,730054.488634,730054.488634,730054.488634,730054.488634
65536,805897.487204,805897.487204,805897.487204,805897.487204,805897.487204,805897.487204
32768,759990.451843,759990.451843,759990.451843,759990.451843,759990.451843,759990.451843
