frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
16,160034.342561,160034.342561,160034.342561,160034.342561,160034.342561,160034.342561
32,245739.983776,243867.439518,243867.439518,243867.439518,243867.439518,243867.439518
8192,197056.870844,197056.870844,197056.870844,197056.870844,197056.870844,197056.870844
8,111087.728908,111087.728908,111087.728908,111087.728908,111087.728908,111087.728908
2048,139047.435697,139047.435697,139047.435697,139047.435697,139047.435697,139047.435697
4,242490.396575,242490.396575,242490.396575,242490.396575,242490.396575,242490.396575
256,202425.518853,202425.518853,202425.518853,202425.518853,202425.518853,202425.518853
2,295763.109752,295763.109752,295763.109752,295763.109752,295763.109752,295763.109752
4096,218452.634090,221339.052641,218452.634090,218452.634090,218452.634090,221339.052641
512,423268.751240,293028.380602,293028.380602,293028.380602,293028.380602,293028.380602
128,436711.014852,436711.014852,436711.014852,436711.014852,436711.014852,436711.014852
16384,829660.096589,829660.096589,829660.096589,829660.096589,829660.096589,829660.096589
65536,356652.706872,356652.706872,356652.706872,356652.706872,356652.706872,356652.706872
64,324728.771469,252662.877156,252662.877156,252662.877156,252662.877156,252662.877156
1024,324818.539091,288438.817877,288438.817877,288438.817877,288438.817877,288438.817877
32768,1095347.834822,1073891.291927,1073891.291927,1073891.291927,1073891.291927,1073891.291927
