frequency,Dynamic_njobs200_mode0_L2_norm_flow_time,Dynamic_njobs200_mode0_maximum_flow_time,Dynamic_njobs200_mode1_L2_norm_flow_time,Dynamic_njobs200_mode1_maximum_flow_time,Dynamic_njobs200_mode2_L2_norm_flow_time,Dynamic_njobs200_mode2_maximum_flow_time,Dynamic_njobs200_mode4_L2_norm_flow_time,Dynamic_njobs200_mode4_maximum_flow_time,Dynamic_njobs200_mode8_L2_norm_flow_time,Dynamic_njobs200_mode8_maximum_flow_time,Dynamic_njobs200_mode16_L2_norm_flow_time,Dynamic_njobs200_mode16_maximum_flow_time
16,323555.889773,63990.000000,288106.454181,43239.000000,303093.951596,90055.000000,305994.450296,49788.000000,330789.784248,112279.000000,311026.024810,63990.000000
512,949854.510598,242984.000000,865393.089163,53265.000000,868828.446827,60856.000000,880054.815119,134301.000000,878183.069271,146948.000000,917301.019103,206151.000000
64,930444.702626,138049.000000,867629.265471,57367.000000,869155.455440,99857.000000,867798.348014,148586.000000,846076.387829,132990.000000,907059.760748,138049.000000
256,746378.525039,71347.000000,711895.035623,83756.000000,716427.513557,106482.000000,654575.971614,97312.000000,709712.212237,115056.000000,708315.461512,115056.000000
128,1254278.045312,298341.000000,1105332.032056,161271.000000,1077477.463269,89932.000000,1102573.432418,114365.000000,1254278.045312,298341.000000,1152927.513558,204731.000000
4,424036.821138,110050.000000,392615.755113,42620.000000,394927.279446,94859.000000,396794.040463,76963.000000,395809.709833,84908.000000,419751.089348,110050.000000
2,606713.745596,44527.000000,506172.314276,74891.000000,505087.102534,74891.000000,539508.510183,106912.000000,530366.622369,76569.000000,536037.396501,107910.000000
4096,876758.945814,115831.000000,806449.762262,45350.000000,821329.384132,75841.000000,825186.471100,65002.000000,824049.243808,58046.000000,872014.418577,125304.000000
8,409310.307288,64217.000000,378430.176036,57968.000000,374669.497816,64217.000000,382806.649008,64217.000000,383643.726489,59293.000000,395634.603139,64217.000000
32,702384.065202,75223.000000,663867.045509,111303.000000,683585.687724,122884.000000,644136.553706,65050.000000,661971.785667,113119.000000,700602.372283,75223.000000
16384,707382.775487,15543.000000,663432.532791,37433.000000,662448.735996,37433.000000,669824.067907,31175.000000,706321.723334,18693.000000,707576.118684,15543.000000
1024,1180842.186124,297864.000000,1091484.526345,65051.000000,1077499.391947,113572.000000,1090919.704826,130753.000000,1133224.542401,266138.000000,1079312.333246,205379.000000
2048,1750834.518024,282701.000000,1689280.440342,89299.000000,1677761.981454,127231.000000,1705165.411990,169801.000000,1688508.443159,153057.000000,1613149.146228,207361.000000
65536,1737014.752260,30847.000000,1685384.789086,48498.000000,1685384.789086,48498.000000,1685384.789086,48498.000000,1685384.789086,48498.000000,1708531.912424,36926.000000
8192,2177284.937917,298216.000000,2077515.323131,86747.000000,2207083.419370,94678.000000,2109300.899366,154501.000000,2087291.183915,111864.000000,2174977.962461,111864.000000
32768,2480778.057070,46807.000000,2384730.757518,57616.000000,2381825.204297,65645.000000,2380645.363625,76578.000000,2371705.665043,82261.000000,2375177.249080,85971.000000
