frequency,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
128,153724.530281,153724.530281,153724.530281,153724.530281,153724.530281,153724.530281,41524.000000,41524.000000,41524.000000,41524.000000,41524.000000,41524.000000
65536,265915.294415,265915.294415,265915.294415,265915.294415,265915.294415,265915.294415,89753.000000,89753.000000,89753.000000,89753.000000,89753.000000,89753.000000
4,246274.325081,246274.325081,246274.325081,246274.325081,246274.325081,246274.325081,52312.000000,52312.000000,52312.000000,52312.000000,52312.000000,52312.000000
4096,228519.710857,228519.710857,228519.710857,228519.710857,228519.710857,228519.710857,108910.000000,108910.000000,108910.000000,108910.000000,108910.000000,108910.000000
16384,471265.124401,471265.124401,471265.124401,471265.124401,471265.124401,471265.124401,205091.000000,205091.000000,205091.000000,205091.000000,205091.000000,205091.000000
1024,410010.286066,410010.286066,410010.286066,410010.286066,410010.286066,410010.286066,226878.000000,226878.000000,226878.000000,226878.000000,226878.000000,226878.000000
16,307077.848620,307077.848620,307077.848620,307077.848620,307077.848620,307077.848620,157165.000000,157165.000000,157165.000000,157165.000000,157165.000000,157165.000000
64,372118.421545,372118.421545,372118.421545,372118.421545,372118.421545,372118.421545,197996.000000,197996.000000,197996.000000,197996.000000,197996.000000,197996.000000
32768,272810.853563,272810.853563,272810.853563,272810.853563,272810.853563,272810.853563,155050.000000,155050.000000,155050.000000,155050.000000,155050.000000,155050.000000
2048,467086.968901,467086.968901,467086.968901,467086.968901,467086.968901,467086.968901,121267.000000,121267.000000,121267.000000,121267.000000,121267.000000,121267.000000
2,200882.330868,200882.330868,200882.330868,200882.330868,200882.330868,200882.330868,125986.000000,125986.000000,125986.000000,125986.000000,125986.000000,125986.000000
8,367704.059661,367704.059661,367704.059661,367704.059661,367704.059661,367704.059661,120589.000000,120589.000000,120589.000000,120589.000000,120589.000000,120589.000000
256,311263.996807,311263.996807,311263.996807,311263.996807,311263.996807,311263.996807,141725.000000,141725.000000,141725.000000,141725.000000,141725.000000,141725.000000
512,431095.277024,431095.277024,431095.277024,431095.277024,431095.277024,431095.277024,280571.000000,280571.000000,280571.000000,280571.000000,280571.000000,280571.000000
8192,444774.897967,444774.897967,444774.897967,444774.897967,444774.897967,444774.897967,314895.000000,314895.000000,314895.000000,314895.000000,314895.000000,314895.000000
32,455649.889072,455649.889072,455649.889072,455649.889072,455649.889072,455649.889072,250871.000000,250871.000000,250871.000000,250871.000000,250871.000000,250871.000000
