frequency,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
8,285894.151010,285894.151010,285894.151010,285894.151010,285894.151010,285894.151010,89980.000000,89980.000000,89980.000000,89980.000000,89980.000000,89980.000000
16384,273813.262728,273813.262728,273813.262728,273813.262728,273813.262728,273813.262728,55861.000000,55861.000000,55861.000000,55861.000000,55861.000000,55861.000000
4096,188366.470063,188366.470063,188366.470063,188366.470063,188366.470063,188366.470063,79411.000000,79411.000000,79411.000000,79411.000000,79411.000000,79411.000000
4,254593.187886,254593.187886,254593.187886,254593.187886,254593.187886,254593.187886,85097.000000,85097.000000,85097.000000,85097.000000,85097.000000,85097.000000
2,366120.579670,366120.579670,366120.579670,366120.579670,366120.579670,366120.579670,201365.000000,201365.000000,201365.000000,201365.000000,201365.000000,201365.000000
2048,423471.112787,423471.112787,423471.112787,423471.112787,423471.112787,423471.112787,201738.000000,201738.000000,201738.000000,201738.000000,201738.000000,201738.000000
65536,325477.236915,325477.236915,325477.236915,325477.236915,325477.236915,325477.236915,186759.000000,186759.000000,186759.000000,186759.000000,186759.000000,186759.000000
16,440440.994671,440440.994671,440440.994671,440440.994671,440440.994671,440440.994671,281247.000000,281247.000000,281247.000000,281247.000000,281247.000000,281247.000000
128,266752.179592,266752.179592,266752.179592,266752.179592,266752.179592,266752.179592,184608.000000,184608.000000,184608.000000,184608.000000,184608.000000,184608.000000
256,398220.735548,398220.735548,398220.735548,398220.735548,398220.735548,398220.735548,183353.000000,183353.000000,183353.000000,183353.000000,183353.000000,183353.000000
64,114705.158389,114705.158389,114705.158389,114705.158389,114705.158389,114705.158389,38047.000000,38047.000000,38047.000000,38047.000000,38047.000000,38047.000000
512,458053.565425,458053.565425,458053.565425,458053.565425,458053.565425,458053.565425,265245.000000,265245.000000,265245.000000,265245.000000,265245.000000,265245.000000
1024,425056.628064,425056.628064,425056.628064,425056.628064,425056.628064,425056.628064,281856.000000,281856.000000,281856.000000,281856.000000,281856.000000,281856.000000
32768,347417.640842,347417.640842,347417.640842,347417.640842,347417.640842,347417.640842,125724.000000,125724.000000,125724.000000,125724.000000,125724.000000,125724.000000
8192,409233.241934,409233.241934,409233.241934,409233.241934,409233.241934,409233.241934,204003.000000,204003.000000,204003.000000,204003.000000,204003.000000,204003.000000
32,530885.984057,530885.984057,530885.984057,530885.984057,530885.984057,530885.984057,384158.000000,384158.000000,384158.000000,384158.000000,384158.000000,384158.000000
